ID	ZT00	ZT00	ZT00	ZT00	ZT00	ZT04	ZT04	ZT04	ZT04	ZT04	ZT08	ZT08	ZT08	ZT08	ZT08	ZT12	ZT12	ZT12	ZT12	ZT12	ZT16	ZT16	ZT16	ZT16	ZT16	ZT20	ZT20	ZT20	ZT20	ZT20
OT_ostta06g03820	135353.7152	129893.1737	109825.467	110009.2654	137124.6768	117503.8777	87330.745	127571.2511	115943.0896	74159.93091	136999.5618	107885.7239	83149.52683	103847.6749	115638.2028	138940.3383	108760.1219	120441.5859	119871.0881	97135.79998	138316.8589	121939.5028	100377.1756	120686.8436	97552.64655	124017.3415	160876.9389	107871.8118	131242.1304	55784.00311
OT_ostta05g00490	57366.85368	56583.17341	60441.62342	54161.15	57387.39409	53517.7138	53200.15879	81478.86651	54441.66218	25155.16817	62129.38535	65668.79931	47245.11493	49943.11172	38703.36398	53023.37375	36817.24827	60914.94286	66925.81967	46811.73879	44746.51306	59634.96856	52889.97933	56429.4817	40992.71359	50117.21119	69652.79397	52861.84374	52840.91135	20850.7199
OT_ostta13g03020	556829.6633	495878.5433	405348.956	406654.0127	573322.4017	493262.3898	535918.3451	477433.891	451329.364	305308.6701	659897.8524	468430.8172	535642.3031	505140.9198	462176.4058	728107.0991	593893.4834	609439.098	465851.2856	477274.4352	585694.2752	553225.1088	522459.5381	548627.7533	503364.2478	596717.128	661010.7711	557714.1389	517784.1177	331540.7375
OT_ostta16g00290	278255.4456	260177.7886	218310.9659	225744.4259	314015.4662	284307.8301	331793.5423	310992.8459	258915.2075	160519.4107	329857.9502	311032.6015	311455.0438	308504.9557	306816.7114	391611.8862	373658.2853	340726.3389	318785.3884	245421.7387	294361.2495	312165.9043	307850.0852	336837.3305	302314.8458	266401.0142	419832.5832	283547.8458	313809.511	135782.162
OT_ostta15g00150	1424982.958	1470511.6	1107077.34	1077009.893	1312792.172	1386724.061	1532859.702	1516888.526	1376913.77	611014.1189	1656726.253	1599247.351	1626692.487	1474430.797	1613483.62	1640936.062	1648783.712	1765819.534	1287768.174	1208991.534	1469516.076	1797303.033	1343199.617	1643401.92	1382418.479	1615054.226	1601266.847	1549604.243	1246692.859	641562.7027
OT_ostta15g01280	709907.2097	701035.4079	587879.8003	495866.2499	625886.5647	689309.5028	592774.5184	506274.0961	579444.1709	300499.8188	781438.5229	784884.5026	668274.4469	668245.7504	572254.718	788361.5148	679141.3503	691645.4769	670840.5136	657397.8853	733482.2845	673412.9708	667787.8531	586331.7765	643451.1553	595210.9685	686894.6293	610093.9315	616630.1965	254536.7776
OT_ostta17g02180	701557.1221	823586.6264	520108.5807	684712.2701	622707.008	588755.7669	596027.7729	615649.7063	713253.0853	262016.6401	699729.2781	1015169.924	753983.8423	729740.6756	715479.8847	826709.7287	825922.2213	703594.4647	652186.9315	684956.2099	636493.0154	834544.7173	691769.7334	758919.885	764892.9975	706962.4853	779695.3673	552337.7856	719632.5807	287163.456
OT_ostta04g01150	1779204.462	1752352.883	1524033.849	1559158.516	1681136.44	1435085.962	1605202.615	1598590.438	1503612.325	888644.1198	1816779.059	1924354.919	1784927.386	1599603.764	1601827.472	1659643.716	2159170.097	1846702.006	1812129.226	1637988.771	1702089.036	1793401.472	1434329.8	1613222.594	1601111.106	1848766.855	1849266.22	1622820.697	1867192.65	1037618.455
OT_ostta05g02820	25091.18069	44854.96698	23844.1458	34933.6327	27442.90793	28189.35633	32665.32273	30563.47588	25164.07317	6339.346172	28050.67111	26506.99434	19678.96811	29909.14875	25160.2082	29658.51766	27881.32219	35368.45176	26864.6687	26153.97721	28893.97597	27510.4736	24802.13471	23039.40257	26275.99524	22490.61658	28076.56529	18489.1548	23732.4399	4833.205727
OT_ostta12g02920	1240530.62	1352372.464	1082176.529	1129388.773	1267301.841	1312871.156	1305039.81	1238563.508	1141843.043	594274.5754	1129251.528	1284408.977	1246254.076	1144822.896	1229192.906	1349557.787	1048228.772	1424967.934	1233707.08	1099124.613	1121335.181	1038141.764	1023602.383	995067.4952	1021451.257	1254277.064	1207581.334	1019173.29	1117913.778	521874.3786
OT_ostta18g01550	233537.6811	294174.2762	273917.2727	236009.3879	295905.6811	271154.8563	343322.4939	289738.7391	295686.8645	85185.56345	287925.6626	239761.709	199017.5063	224406.4196	212244.3417	277478.647	278052.4718	354589.1124	315082.2273	222847.6029	254172.9272	248048.2466	240149.0263	221714.3865	235344.6032	254376.8764	361914.3203	255202.7472	305840.4369	77249.63925
