ID	default.pvalue
P38647	3.08e-05
Q9Z2I9	0.000164309
Q9DBS1	0.000843271
P29268	0.006133669
E9PV24	0.001770994
Q11011	0.002322576
Q8BTZ7	0.00421002
Q542E4	0.000895844
Q91ZJ5	0.002755466
Q9DBG3	0.002956338
Q3UPH1	0.001722572
Q8BWW3	0.003326588
Q80Y52	0.006736325
Q8CGB6	0.01626561
Q71LX8	0.024440569
P63330	0.016605164
Q501P1	0.002620651
Q5M9M0	0.006400309
P17809	0.007669083
P55264	0.008804249
O88952	0.003332019
Q58EU6	0.002978958
Q3TIV6	0.004290046
O88322	0.012329067
P47199	0.008960172
P48962	0.014634992
Q99PV0	0.009248021
P62264	0.002182298
Q5SW83	0.005789281
Q545G0	0.011322114
D3YYM6	0.020183277
Q8BJY1	0.028576319
P68254	0.008708934
D3Z7D5	0.012197924
Q8BWT1	0.025943227
Q9JIF7	0.003553095
O35074	0.005410564
Q9CVB6	0.005352863
Q9JKF1	0.000824631
P49442	0.005470487
Q9DBF1	0.011516831
Q561N5	0.006180029
Q8BWY3	0.010432692
Q0VEE0	0.005452461
P62830	0.012984482
Q3UBT1	0.006151146
P70195	0.004486134
Q8BH24	0.007873974
Q3UC02	0.002665834
P32921	0.013062286
Q9Z110	0.025394443
Q922B2	0.019499599
P06745	0.014520657
A0A0N4SW94	0.018812479
Q91V92	0.027713009
B9EHC3	0.001228644
Q5BLK2	0.038069
Q78IS1	0.018094406
Q6P5F9	0.007193277
Q4VAE6	0.009099893
Q53WR6	0.009343658
F8WIT2	0.018348145
Q3UK97	0.01731001
O55188	0.017881131
Q542X5	0.008925623
Q9CZD3	0.005655544
Q4FJQ7	0.010696011
E9Q589	0.008191075
P47757	0.032301683
Q9QYG0	0.010949245
P06801	0.007089656
Q9R0B9	0.006594614
Q3U4Z7	0.012278225
Q5FW97	0.008769442
Q8CG72	0.012196939
P51942	0.020148741
P14152	0.022555331
Q8BHN3	0.018552425
Q9DCY1	0.006225583
Q03265	0.02161874
Q3TIJ7	0.006959362
Q80UM7	0.00849651
B2RRX1	0.016908504
P17563	0.003543851
F6V084	0.007461974
P26369	0.006694105
Q8R016	0.030488557
Q3U9G9	0.010534581
Q9JIM1	0.021839044
Q545X8	0.010685582
Q547B5	0.023920388
Q8VDN2	0.014715128
Q99JF8	0.017246119
G5E829	0.015714955
Q499X7	0.018963073
Q6NZL8	0.028566441
Q8BL97	0.022812882
Q9DCW4	0.013172417
Q3TX21	0.02681725
Q91VD9	0.050696172
P97807	0.009567851
Q7TPC1	0.006723773
Q3ULT2	0.036379404
Q564F3	0.010561563
P52480	0.024199711
Q7TMB8	0.009562814
Q6ZQ38	0.011404012
Q8BTU6	0.067271504
Q8VCU2	0.005864039
Q3TKV1	0.013948746
Q3TMX0	0.002739874
P05977	0.144824019
G5E899	0.010526648
Q9CWK8	0.065668202
Q9CR68	0.015939361
Q9R0E2	0.147850487
P09411	0.011702499
Q93092	0.014130147
E9PYF1	0.02775526
D3Z3G6	0.042150105
Q4KML7	0.022436109
Q9EQ20	0.018106622
Q9D1D6	0.031874238
G3UW60	0.034630992
P62827	0.029854908
Q4FJL0	0.011775174
Q9D2G9	0.034590334
P52480	0.026136247
Q543R4	0.060156952
Q9ERE7	0.002643366
Q99K01	0.018616658
Q3TEA8	0.016504346
Q5M9M5	0.078023089
E9Q5H2	0.02659205
Q9D0I9	0.018605972
O08547	0.015435446
P62835	0.01773161
Q9Z0S1	0.021541019
P47856	0.050506143
Q02105	0.042874258
Q564F4	0.042137803
Q62093	0.013183313
P23116	0.067918661
P63328	0.085909841
P08752	0.068797407
B9EHN0	0.022402811
A2RTA0	0.05307253
Q69ZN7	0.016306536
Q9ERK4	0.054311745
Q8BGJ5	0.026040965
P10493	0.073216302
Q7TNC4	0.019341035
Q91V76	0.024428337
Q6V4S5	0.047295792
P16125	0.042764077
P56480	0.031221628
Q3TGR2	0.02356259
O88958	0.049959705
Q61656	0.018350774
Q8BP43	0.121772731
Q3U1N3	0.025251645
Q8R116	0.114130694
Q62356	0.094384638
Q99KC8	0.006304218
Q9CQM8	0.031326447
Q8BY89	0.051462464
Q3V1T4	0.67769497
Q543K9	0.041000931
Q5SUC3	0.025077525
Q544Q7	0.037901769
Q8R1F1	0.047359173
Q3U573	0.017639693
Q542I9	0.086121797
Q9Z1Z0	0.022969231
Q8QZT1	0.042674275
O55137	0.044337296
Q5BLK1	0.013033132
Q61576	0.385404361
Q543N3	0.046061022
O88844	0.039179805
P45952	0.026851316
Q9D1D4	0.125223665
Q3ULF7	0.042604107
Q9JHI5	0.014953447
Q05306	0.108084058
P70122	0.063862401
A2RT60	0.023313419
Q9D1R9	0.466061027
F6WYM0	0.051117591
Q80SW1	0.071968862
P08003	0.033968732
Q8BVI4	0.057254858
E9QMH7	0.034698734
Q9JJU8	0.051431986
P12265	0.175091137
Q8CDN6	0.094911891
Q4VAG4	0.026664218
Q80X19	0.007928832
Q91YQ5	0.03013364
A2AUR7	0.056989542
Q3TXH3	0.041021459
P05201	0.020609732
P12023	0.012092686
Q4FJX9	0.200295661
Q9QUP5	0.053886024
Q80V42	0.071847599
P46412	0.046480966
Q9R0M3	0.076518316
O35701	0.034468081
P12382	0.075540153
Q9R1P0	0.021768742
P54728	0.036963289
A6H6K1	0.019282512
P62141	0.046533077
Q545E6	0.05134158
Q61711	0.028290618
E9Q175	0.032943943
Q3UPL0	0.088453302
P26039	0.065754434
B2RVD1	0.121903977
Q6RI64	0.102448722
P50396	0.026869161
A2AVJ7	0.059961026
Q80WM5	0.090831049
A2ACG7	0.121866038
E9PXZ3	0.069765423
Q3UIP2	0.028025781
P16045	0.068558018
A0A0R4J097	0.095940698
Q4FJR7	0.085311404
Q3TQR3	0.04883556
G3UX26	0.049118107
P21619	0.069686579
Q9D6Z1	0.050126083
Q3U6J9	0.098879993
Q6PDC2	0.01247619
Q8BMJ2	0.112208319
B9EIA2	0.055107293
Q58EU3	0.056799645
Q9WVA4	0.08878487
Q61563	0.079974656
Q78ZM0	0.092056141
Q7M6Y3	0.035973074
Q9ET30	0.073376156
P49722	0.175751417
Q3UC73	0.019858761
A0A0B4J1F2	0.104144459
P68134	0.05711436
Q542X7	0.04846843
Q5SVG5	0.176221914
E9Q1S3	0.035494831
P97927	0.020439135
E9Q7G1	0.032580945
Q5M9K7	0.031564907
P00493	0.055992786
Q9JHU4	0.040740061
J3QN06	0.057873613
A0A0R4J086	0.110208964
P70168	0.04658019
Q14AF6	0.150416356
Q543N5	0.057703304
Q3TBG7	0.144217325
Q9DBZ1	0.079413335
Q99KI0	0.061407248
Q9Z2X1	0.122812624
Q58E64	0.082082632
Q60692	0.109226599
P63321	0.217887605
A1BN54	0.078438125
Q8CGC7	0.076102163
Q544Z7	0.043013815
F6TMZ3	0.020835732
Q5ND42	0.070797149
Z4YKV1	0.07240332
P70663	0.076206364
E9PXX7	0.026397357
P28481	0.023598754
Q3TJ39	0.070497595
Q8R164	0.186728176
Q99LB4	0.078945567
Q8R2Z5	0.036926136
Q8R3B1	0.016933409
P14106	0.032493481
Q3U9V5	0.024990376
P26043	0.042655984
Q99K51	0.06473214
A2AKI5	0.06638026
P26041	0.019366176
P47857	0.045255298
Q544B1	0.164997565
Q8BU30	0.087978586
O55143	0.114348113
Q3TNY7	0.256567206
A0A087WRJ2	0.034816872
O70309	0.058855328
A2ASS6	0.105235448
P27659	0.101728016
E9PV44	0.416977646
Q3TS44	0.082322495
P29387	0.091792972
G3X995	0.135108146
Q9DCD0	0.113741254
P24527	0.090721077
A4FUS1	0.035142454
Q8R050	0.14250081
P05213	0.093979222
Q9DC51	0.077393304
P51660	0.368688051
Q8QZY1	0.081415242
Q60604	0.039097483
Q91YI0	0.051044286
Q3UDE2	0.185382022
P97321	0.045249454
P29341	0.091691511
P09528	0.075805536
P30416	0.133011949
Q6ZWN5	0.043359263
P26883	0.062186139
Q544R6	0.03233954
Q9CQ65	0.105140158
Q5RKN9	0.125079707
A7VMV2	0.056961729
Q5DQJ3	0.080027259
Q9D051	0.111749103
Q7TMG8	0.090258954
Q9D236	0.084790924
Q9WU78	0.070160199
P63005	0.037986751
A0A0U1RP93	0.057483646
A6MDD3	0.030966165
Q3TWW8	0.065768203
P46471	0.064085082
Q00623	0.106474675
Q9D8U8	0.106786343
Q3UFJ3	0.073922197
Q62261	0.156593109
Q3TYW1	0.248472351
Q99KQ4	0.077978853
Q61598	0.040940852
P12032	0.277485329
P16092	0.118152958
Q9JIF0	0.044503949
Q9R190	0.090258378
Q3UIG0	0.045081891
P58252	0.041281401
P47963	0.084686033
Q8K157	0.050574893
Q7TSV4	0.039658145
P20029	0.073755788
Q8CCK0	0.126291273
Q9WUB3	0.042288882
P63038	0.051026501
Q543R5	0.060530249
Q5YLW3	0.049928344
P70699	0.087265294
Q9R0N0	0.057301744
P33434	0.104677687
Q62376	0.101367297
Q99PT1	0.102389569
Q99LC5	0.061366779
Q78PY7	0.125900197
E9Q133	0.142605727
Q5NCU4	0.122552345
Q3TRJ7	0.062675243
O88428	0.047468422
Q5SYD0	0.057377605
Q61035	0.071480861
B2RSC8	0.105773541
Q60597	0.137477301
Q4FJX4	0.111308985
O35226	0.043889151
Q64514	0.080788096
Q8BP67	0.051589421
P40240	0.087899985
Q78ZJ8	0.150304098
Q61805	0.076591534
Q3UKJ6	0.071407996
Q59IW9	0.083211392
P08228	0.090567443
Q9CWJ9	0.120789101
Q544J8	0.09503875
Q60716	0.055377191
F2Z468	0.090311669
Q5FW85	0.081022788
F6X322	0.089696542
Q3TML0	0.090687487
P50516	0.274701563
G3XA10	0.097907158
D3Z1M3	0.119733317
Q61171	0.076888721
D3YWS2	0.062097964
Q5BLJ9	0.140242436
Q61282	0.061841773
Q4FK57	0.103286694
E9QMY1	0.107665517
Q3UQV0	0.108447167
Q543N6	0.100318518
Q543D2	0.126890801
Q5M9K9	0.152612526
Q8K183	0.207571806
Q61245	0.561623105
G3X9S2	0.061596358
Q76MZ3	0.187953234
Q3UL22	0.136811365
Q9JKR6	0.109837059
P08249	0.08476382
P14685	0.13556421
Q6ZWX1	0.06877736
Q544N9	0.069857503
A2RSB1	0.163603522
Q9DB77	0.151952562
Q8R1Q3	0.074237171
P01029	0.550773093
Q3TX38	0.124546743
Q8VCC9	0.100170709
Q4FK36	0.062375075
A2RTI3	0.065674685
A2AQ53	0.117293378
Q58EA6	0.067502045
P70372	0.067119477
P70186	0.14385589
Q9CY64	0.11747518
P21956	0.066694907
G3UXX3	0.075874101
Q61425	0.068739177
Q9QZQ8	0.146501516
P99026	0.331734816
P57759	0.066078676
Q99JY0	0.109861332
Q01853	0.107412756
P11031	0.15994396
P51859	0.099810284
Q8JZR2	0.105812633
Q9DCL9	0.25087819
Q05AC1	0.07671138
D3YWF6	0.231895571
E9Q7L7	0.106018268
Q9CPW4	0.108147026
Q3U344	0.13917966
Q3U379	0.079591452
Q8CFX1	0.195443856
Q5M9J8	0.103619563
Q00724	0.244931055
Q3USZ8	0.16946554
P62814	0.119662891
P53996	0.108663014
Q811L7	0.145449114
E9Q4D0	0.149142409
Q60847	0.07744689
G3X9T8	0.080244968
A2AEC2	0.129184253
Q64739	0.083861455
Q56A15	0.09240587
P50580	0.171427248
Q6ZWZ7	0.079737719
Q8CD91	0.107578167
F8VPK6	0.111957161
A0A140LHA2	0.173642194
P62267	0.081926157
Q9QXP7	0.098226503
F8VQA4	0.095196627
Q9JMH6	0.219345415
B2MWM9	0.172219739
Q9Z2D6	0.102883687
Q3UEG8	0.123958022
A0A0R4J0I9	0.083674607
Q58ET1	0.103955315
E9PZ16	0.10591927
Q9D1Q6	0.107776285
Q9EST5	0.112470158
Q9CWS0	0.096314094
Q8CAY6	0.130518177
Q6NXL1	0.13951629
Q8CJG0	0.100731678
O35646	0.095413357
Q542H2	0.142789353
P09242	0.117877392
Q62422	0.138252014
P62204	0.370708105
O55029	0.095233582
P62717	0.096298345
Q920A5	0.164332738
Q3TXT7	0.11725834
Q6PF96	0.098184118
B2RV73	0.150441838
A2AD84	0.49813165
P09055	0.15388653
Q3UCD9	0.281779094
Q4FZH2	0.109429821
P26443	0.109746027
P68181	0.155616482
D3YYE1	0.267077322
Q02819	0.135778999
P63087	0.243476079
Q06335	0.269415308
P84104	0.154605264
