MGI.ID	pval.protein	pval.mRNA
MGI:1098234	0.294334906	9.28e-07
MGI:2140364	0.675184433	0.263478025
MGI:103202	0.865346276	0.797103381
MGI:87948	0.459167423	0.085704512
MGI:87947	0.549586354	0.003399848
MGI:2136171	0.458730853	3.34e-07
MGI:1928277	0.216402208	0.015171421
MGI:1916847	0.171615708	3.39e-05
MGI:2429409	0.007853373	0.00054936
MGI:2448704	0.932501571	1.8e-05
MGI:1333754	0.610005572	0.03609616
MGI:2443267	0.205137205	0.17283915
MGI:1917173	0.639185095	0.003669461
MGI:1924809	0.687964115	5.9e-07
MGI:1923236	0.676963792	0.004707787
MGI:1914762	0.949985533	7.17e-08
MGI:1336186	0.386971978	0.003472422
MGI:87961	0.404033377	0.03855657
MGI:87963	0.28255884	0.150853868
MGI:1329033	0.571862673	2.52e-11
MGI:2146052	0.372818866	0.002252967
MGI:87968	0.180754388	0.002307738
MGI:2385184	0.033297869	0.08570625
MGI:1921590	0.927751138	3.72e-05
MGI:1316648	0.103857739	7.57e-05
MGI:2387603	0.18640585	2.71e-07
MGI:1916133	0.513805102	0.000101212
MGI:107189	0.003441251	0.084538277
MGI:1343098	0.581193101	3.65e-05
MGI:1349419	0.674649162	0.056008833
MGI:1918611	0.787025134	1.63e-06
MGI:102774	0.928250347	0.066581624
MGI:2385237	0.242044941	0.000590408
MGI:109622	0.921824785	0.031952246
MGI:87978	0.656573734	1.17e-09
MGI:1860835	0.567275454	0.064863085
MGI:87979	0.559842012	3.5e-09
MGI:104729	0.269278589	0.047146933
MGI:1890218	0.351004037	0.233902918
MGI:1932576	0.636691534	0.065537283
MGI:2676556	0.945715465	0.000296034
MGI:1928488	0.296198651	0.000190967
MGI:2178217	0.626067033	0.088308034
MGI:1929955	0.540724963	0.069652558
MGI:1915111	0.403912229	0.0063973
MGI:101918	0.49189602	0.419918687
MGI:107673	0.611311465	0.086589868
MGI:1351661	0.968607466	0.001690079
MGI:1351662	0.500014061	0.003448778
MGI:2145458	0.000755333	2.64e-05
MGI:2653678	0.389249499	5.59e-06
MGI:2151104	0.011090173	0.025960614
MGI:1933427	0.450566038	4.5e-07
MGI:2384785	0.813421238	0.020427701
