# IDs mapping from UniProt Database 
# UniProtKB AC/ID to Ensembl.Genome.Protein.ID
#
Ensemble.Genome.ID	UniProt.ID	Ensembl.Genome.Protein.ID	Transcript.ID
Synpcc7942_0001	P52023	ABB56033	syc1510-h_at
Synpcc7942_0002	Q31SD5	ABB56034	syc1509-h_at
Synpcc7942_0006	Q31SD1	ABB56038	NA
Synpcc7942_0007	Q31SD0	ABB56039	NA
Synpcc7942_0011	Q31SC6	ABB56043	syc1500-m_at
Synpcc7942_0013	Q31SC4	ABB56045	syc1498-h_at
Synpcc7942_0015	Q31SC2	ABB56047	NA
Synpcc7942_0018	Q31SB9	ABB56050	NA
Synpcc7942_0021	Q31SB6	ABB56053	NA
Synpcc7942_0026	Q31SB1	ABB56058	NA
Synpcc7942_0028	Q31SA9	ABB56060	NA
Synpcc7942_0030	Q31SA7	ABB56062	NA
Synpcc7942_0031	Q31SA6	ABB56063	syc1480-h_at
Synpcc7942_0039	P21577	ABB56071	syc1473-h_at
Synpcc7942_0042	Q31S95	ABB56074	syc1470-m_at
Synpcc7942_0044	Q31S93	ABB56076	syc1468-h_at
Synpcc7942_0046	Q31S91	ABB56078	syc1466-h_at
Synpcc7942_0047	Q31S90	ABB56079	syc1465-h_at
Synpcc7942_0048	Q31S89	ABB56080	NA
Synpcc7942_0049	Q31S88	ABB56081	NA
Synpcc7942_0050	Q31S87	ABB56082	NA
Synpcc7942_0053	Q31S84	ABB56085	NA
Synpcc7942_0054	Q31S83	ABB56086	NA
Synpcc7942_0055	Q31S82	ABB56087	NA
Synpcc7942_0057	Q31S80	ABB56089	NA
Synpcc7942_0062	Q31S75	ABB56094	NA
Synpcc7942_0065	Q31S72	ABB56097	syc1451-m_at
Synpcc7942_0068	Q31S69	ABB56100	syc1448-m_at
Synpcc7942_0071	Q31S66	ABB56103	syc1446-m_at
Synpcc7942_0072	Q31S65	ABB56104	syc1445-m_at
Synpcc7942_0073	Q31S64	ABB56105	NA
Synpcc7942_0075	Q31S62	ABB56107	NA
Synpcc7942_0076	Q31S61	ABB56108	NA
Synpcc7942_0077	Q31S60	ABB56109	NA
Synpcc7942_0078	Q31S59	ABB56110	NA
Synpcc7942_0079	Q31S58	ABB56111	syc1438-m_at
Synpcc7942_0081	Q31S56	ABB56113	NA
Synpcc7942_0082	Q31S55	ABB56114	syc1435-h_at
Synpcc7942_0086	Q31S51	ABB56118	syc1431-m_at
Synpcc7942_0088	Q31S49	ABB56120	NA
Synpcc7942_0089	Q31S48	ABB56121	NA
Synpcc7942_0090	Q31S47	ABB56122	NA
Synpcc7942_0092	Q31S45	ABB56124	syc1425-m_at
Synpcc7942_0093	Q31S44	ABB56125	NA
Synpcc7942_0095	Q31S42	ABB56127	syc1422-m_at
Synpcc7942_0096	Q31S41	ABB56128	syc1421-m_at
Synpcc7942_0098	Q31S39	ABB56130	syc1419-m_at
Synpcc7942_0099	Q31S38	ABB56131	NA
Synpcc7942_0100	Q31S37	ABB56132	syc1417-m_at
Synpcc7942_0101	Q31S36	ABB56133	syc1416-h_at
Synpcc7942_0102	Q31S35	ABB56134	syc1415-h_at
Synpcc7942_0105	Q31S32	ABB56137	NA
Synpcc7942_0108	Q31S29	ABB56140	NA
Synpcc7942_0109	Q31S28	ABB56141	syc1407-h_at
Synpcc7942_0110	Q31S27	ABB56142	syc1406-h_at
Synpcc7942_0111	Q31S26	ABB56143	NA
Synpcc7942_0112	Q31S25	ABB56144	NA
Synpcc7942_0118	Q31S19	ABB56150	syc1399-h_at
Synpcc7942_0124	Q31S13	ABB56156	syc1393-m_at
Synpcc7942_0126	Q31S11	ABB56158	syc1391-m_at
Synpcc7942_0127	P29283	ABB56159	NA
Synpcc7942_0128	Q31S09	ABB56160	syc1389-h_at
Synpcc7942_0129	Q31S08	ABB56161	NA
Synpcc7942_0130	Q31S07	ABB56162	NA
Synpcc7942_0131	Q31S06	ABB56163	NA
Synpcc7942_0137	Q31S00	ABB56169	NA
Synpcc7942_0139	Q31RZ8	ABB56171	syc1379-h_at
Synpcc7942_0143	Q31RZ4	ABB56175	syc1375-m_at
Synpcc7942_0148	Q31RY9	ABB56180	syc1370-h_at
Synpcc7942_0151	Q31RY6	ABB56183	NA
Synpcc7942_0154	Q31RY3	ABB56186	NA
Synpcc7942_0156	Q31RY1	ABB56188	syc1363-m_at
Synpcc7942_0158	Q31RX9	ABB56190	NA
Synpcc7942_0159	Q31RX8	ABB56191	NA
Synpcc7942_0160	Q31RX7	ABB56192	syc1359-h_at
Synpcc7942_0161	Q31RX6	ABB56193	syc1358-h_at
Synpcc7942_0162	Q31RX5	ABB56194	NA
Synpcc7942_0163	Q31RX4	ABB56195	NA
Synpcc7942_0164	Q31RX3	ABB56196	syc1355-h_at
Synpcc7942_0166	Q31RX1	ABB56198	NA
Synpcc7942_0167	Q31RX0	ABB56199	NA
Synpcc7942_0168	Q31RW9	ABB56200	syc1352-h_at
Synpcc7942_0169	Q31RW8	ABB56201	NA
Synpcc7942_0170	Q31RW7	ABB56202	NA
Synpcc7942_0171	Q31RW6	ABB56203	NA
Synpcc7942_0172	Q31RW5	ABB56204	NA
Synpcc7942_0173	Q31RW4	ABB56205	NA
Synpcc7942_0178	Q31RV9	ABB56210	NA
Synpcc7942_0180	Q31RV7	ABB56212	NA
Synpcc7942_0181	Q31RV6	ABB56213	NA
Synpcc7942_0182	Q31RV5	ABB56214	NA
Synpcc7942_0185	Q31RV2	ABB56217	NA
Synpcc7942_0189	Q31RU8	ABB56221	NA
Synpcc7942_0191	Q31RU6	ABB56223	syc1333-h_at
Synpcc7942_0194	Q31RU3	ABB56226	NA
Synpcc7942_0196	Q31RU1	ABB56228	syc1328-m_at
Synpcc7942_0226	Q31RR1	ABB56258	NA
Synpcc7942_0252	Q31RN5	ABB56284	NA
Synpcc7942_0254	Q31RN3	ABB56286	syc1271-h_at
Synpcc7942_0262	Q31RM5	ABB56294	NA
Synpcc7942_0271	P42451	ABB56303	NA
Synpcc7942_0272	P42452	ABB56304	syc1253-h_at
Synpcc7942_0273	Q31RL4	ABB56305	NA
Synpcc7942_0277	Q31RL0	ABB56309	NA
Synpcc7942_0282	Q31RK5	ABB56314	NA
Synpcc7942_0288	Q31RJ9	ABB56320	syc1236-m_at
Synpcc7942_0297	Q31RJ0	ABB56329	syc1227-h_at
Synpcc7942_0308	Q8VPV3	ABB56340	syc1217-m_at
Synpcc7942_0310	Q31RH7	ABB56342	NA
Synpcc7942_0321	P0A3F4	ABB56353	NA
Synpcc7942_0322	Q31RG5	ABB56354	NA
Synpcc7942_0335	Q31RF2	ABB56367	NA
Synpcc7942_0348	Q31RD9	ABB56380	NA
Synpcc7942_0355	Q31RD2	ABB56387	NA
Synpcc7942_0361	Q6BBK3	ABB56393	NA
Synpcc7942_0369	Q31RB8	ABB56401	NA
Synpcc7942_0371	Q31RB6	ABB56403	NA
Synpcc7942_0411	Q31R76	ABB56443	NA
Synpcc7942_0430	Q8GAA0	ABB56462	NA
Synpcc7942_0432	Q8GAA2	ABB56464	NA
Synpcc7942_0455	Q8GAA6	ABB56487	NA
Synpcc7942_0469	Q31R18	ABB56501	NA
Synpcc7942_0479	Q31R08	ABB56511	NA
Synpcc7942_0504	Q31QY3	ABB56536	NA
Synpcc7942_0506	Q31QY1	ABB56538	NA
Synpcc7942_0507	Q31QY0	ABB56539	NA
Synpcc7942_0511	Q31QX6	ABB56543	NA
Synpcc7942_0542	Q31QU5	ABB56574	NA
Synpcc7942_0546	Q6VYY4	ABB56578	NA
Synpcc7942_0559	Q31QS8	ABB56591	NA
Synpcc7942_0576	Q31QR1	ABB56608	NA
Synpcc7942_0584	Q31QQ3	ABB56616	NA
Synpcc7942_0603	Q31QN4	ABB56635	NA
Synpcc7942_0608	Q31QM9	ABB56640	NA
Synpcc7942_0611	Q31QM6	ABB56643	NA
Synpcc7942_0626	Q31QL1	ABB56658	NA
Synpcc7942_0631	Q31QK6	ABB56663	NA
Synpcc7942_0632	Q31QK5	ABB56664	NA
