# IDs mapping from UniProt Database 
# UniProtKB AC/ID to Ensembl.Genome.Protein.ID
#
Ensemble.Genome.ID	UniProt.ID	Ensembl.Genome.Protein.ID	Transcript.ID
Synpcc7942_0633	Q31QK4	ABB56665	NA
Synpcc7942_0634	Q31QK3	ABB56666	NA
Synpcc7942_0637	O34209	ABB56669	NA
Synpcc7942_0639	Q31QJ8	ABB56671	NA
Synpcc7942_0644	Q9KHI5	ABB56676	NA
Synpcc7942_0645	Q31QJ2	ABB56677	NA
Synpcc7942_0674	Q31QG3	ABB56706	NA
Synpcc7942_0677	Q31QG0	ABB56709	NA
Synpcc7942_0681	Q31QF6	ABB56713	NA
Synpcc7942_0685	Q31QF2	ABB56717	NA
Synpcc7942_0690	Q31QE7	ABB56722	NA
Synpcc7942_0711	Q31QC6	ABB56743	NA
Synpcc7942_0713	Q31QC4	ABB56745	NA
Synpcc7942_0772	Q31Q65	ABB56804	NA
Synpcc7942_0777	Q31Q60	ABB56809	NA
Synpcc7942_0783	Q31Q54	ABB56815	NA
Synpcc7942_0800	Q31Q37	ABB56832	NA
Synpcc7942_0813	Q55267	ABB56845	NA
Synpcc7942_0853	Q31PY6	ABB56883	NA
Synpcc7942_0885	Q31PV4	ABB56915	NA
Synpcc7942_0897	Q31PU2	ABB56927	NA
Synpcc7942_0900	Q31PT9	ABB56930	NA
Synpcc7942_0905	Q31PT4	ABB56935	NA
Synpcc7942_0923	Q31PR6	ABB56953	NA
Synpcc7942_0924	Q8RQ68	ABB56954	syc0624-m_at
Synpcc7942_0929	Q31PR0	ABB56959	NA
Synpcc7942_0939	Q31PQ0	ABB56969	syc0609-h_at
Synpcc7942_0942	Q31PP7	ABB56972	syc0606-m_at
Synpcc7942_0959	Q31PN0	ABB56989	NA
Synpcc7942_0967	Q31PM2	ABB56997	syc0581-h_at
Synpcc7942_0987	Q55244	ABB57017	NA
Synpcc7942_0997	Q31PJ2	ABB57027	NA
Synpcc7942_0998	Q31PJ1	ABB57028	NA
Synpcc7942_1030	Q31PF9	ABB57060	syc0522-h_at
Synpcc7942_1040	Q31PE9	ABB57070	syc0513-h_at
Synpcc7942_1047	P06539	ABB57077	NA
Synpcc7942_1048	P13530	ABB57078	NA
Synpcc7942_1054	Q44115	ABB57084	NA
Synpcc7942_1055	Q44116	ABB57085	syc0499-h_at
Synpcc7942_1073	Q31PB6	ABB57103	syc0482-h_at
Synpcc7942_1085	P16954	ABB57115	syc0469-h_at
Synpcc7942_1086	P16891	ABB57116	syc0468-h_at
Synpcc7942_1089	P53533	ABB57119	NA
Synpcc7942_1096	Q31P93	ABB57126	syc0457-m_at
Synpcc7942_1100	Q31P89	ABB57130	NA
Synpcc7942_1138	Q31P51	ABB57168	NA
Synpcc7942_1151	Q31P38	ABB57181	NA
Synpcc7942_1167	Q31P22	ABB57197	NA
Synpcc7942_1170	Q31P19	ABB57200	NA
Synpcc7942_1181	Q31P08	ABB57211	NA
Synpcc7942_1182	Q31P07	ABB57212	syc0370-h_at
Synpcc7942_1184	Q8KPQ0	ABB57214	syc0368-h_at
Synpcc7942_1185	Q8KPQ2	ABB57215	NA
Synpcc7942_1188	Q8KPQ5	ABB57218	NA
Synpcc7942_1191	Q8KPQ7	ABB57221	syc0361-h_at
Synpcc7942_1194	Q8KPR0	ABB57224	syc0358-h_at
Synpcc7942_1196	Q8KPR2	ABB57226	NA
Synpcc7942_1197	Q8KPR4	ABB57227	syc0355-m_at
Synpcc7942_1201	Q8KPR8	ABB57231	NA
Synpcc7942_1207	Q8KPS4	ABB57237	NA
Synpcc7942_1209	Q8KPS6	ABB57239	NA
Synpcc7942_1214	Q79PF2	ABB57244	NA
Synpcc7942_1216	Q79PF4	ABB57246	syc0336-m_at
Synpcc7942_1217	Q79PF5	ABB57247	syc0335-m_at
Synpcc7942_1218	Q79PF6	ABB57248	NA
Synpcc7942_1219	Q9Z3H5	ABB57249	NA
Synpcc7942_1220	Q9Z3H6	ABB57250	NA
Synpcc7942_1221	Q79PF9	ABB57251	NA
Synpcc7942_1225	Q8KPS9	ABB57255	syc0327-m_at
Synpcc7942_1235	P39458	ABB57265	NA
Synpcc7942_1237	P38045	ABB57267	NA
Synpcc7942_1239	P38043	ABB57269	NA
Synpcc7942_1240	P39661	ABB57270	NA
Synpcc7942_1261	Q31NS8	ABB57291	NA
Synpcc7942_1277	Q31NR2	ABB57307	syc0277-m_at
Synpcc7942_1278	Q31NR1	ABB57308	NA
Synpcc7942_1285	Q56208	ABB57315	NA
Synpcc7942_1286	Q56207	ABB57316	NA
Synpcc7942_1310	Q9F1R2	ABB57340	syc0244-h_at
Synpcc7942_1314	Q31NM5	ABB57344	NA
Synpcc7942_1315	Q31NM4	ABB57345	NA
Synpcc7942_1319	Q31NM0	ABB57349	NA
Synpcc7942_1343	Q31NJ6	ABB57373	syc0211-h_at
Synpcc7942_1344	Q31NJ5	ABB57374	NA
Synpcc7942_1369	Q31NH0	ABB57399	NA
Synpcc7942_1403	Q31ND6	ABB57433	syc0153-m_at
Synpcc7942_1410	Q31NC9	ABB57440	NA
Synpcc7942_1416	P34185	ABB57446	NA
Synpcc7942_1420	P54208	ABB57450	syc0136-h_at
Synpcc7942_1421	Q03511	ABB57451	syc0135-h_at
Synpcc7942_1422	Q03512	ABB57452	syc0134-h_at
Synpcc7942_1423	Q03513	ABB57453	syc0133-h_at
Synpcc7942_1425	P46205	ABB57455	NA
Synpcc7942_1426	Q31NB3	ABB57456	syc0130-h_at
Synpcc7942_1431	P29820	ABB57461	syc0125-h_at
Synpcc7942_1440	Q31N99	ABB57470	NA
Synpcc7942_1443	Q8VW88	ABB57473	syc0113-h_at
Synpcc7942_1447	P27134	ABB57477	syc0110-h_at
Synpcc7942_1448	Q9L790	ABB57478	NA
Synpcc7942_1449	Q31N90	ABB57479	NA
Synpcc7942_1455	Q31N84	ABB57485	syc0102-h_at
Synpcc7942_1481	Q31N58	ABB57511	syc2483-h_at
Synpcc7942_1484	Q31N55	ABB57514	syc2486-h_at
Synpcc7942_1488	P39660	ABB57518	NA
Synpcc7942_1489	Q55106	ABB57519	NA
Synpcc7942_1490	Q55107	ABB57520	NA
Synpcc7942_1491	Q55108	ABB57521	NA
Synpcc7942_1505	Q31N34	ABB57535	NA
Synpcc7942_1509	Q31N30	ABB57539	NA
Synpcc7942_1513	Q31N26	ABB57543	syc2514-m_at
Synpcc7942_1519	Q31N20	ABB57549	NA
Synpcc7942_1522	Q31N17	ABB57552	NA
Synpcc7942_1523	P42079	ABB57553	NA
Synpcc7942_1524	Q31N15	ABB57554	syc2526-m_at
Synpcc7942_1541	P10340	ABB57571	syc0001-h_at
Synpcc7942_1552	Q31MY7	ABB57582	syc0010-h_at
Synpcc7942_1554	P54415	ABB57584	NA
Synpcc7942_1555	Q31MY4	ABB57585	syc0013-m_at
Synpcc7942_1573	Q8KPV3	ABB57603	syc0030-m_at
Synpcc7942_1581	Q8KPU3	ABB57611	NA
Synpcc7942_1582	Q8KPU2	ABB57612	NA
Synpcc7942_1587	Q8KPT7	ABB57617	syc0044-h_at
Synpcc7942_1590	Q79PG5	ABB57620	NA
Synpcc7942_1592	O33699	ABB57622	syc0049-m_at
Synpcc7942_1594	Q54765	ABB57624	NA
Synpcc7942_1597	Q54769	ABB57627	syc0054-m_at
Synpcc7942_1645	Q31MP4	ABB57675	syc2456-h_at
Synpcc7942_1656	Q31MN3	ABB57686	syc2446-m_at
Synpcc7942_1662	Q31MM7	ABB57692	NA
Synpcc7942_1667	Q31MM2	ABB57697	syc2437-h_at
Synpcc7942_1669	Q31MM0	ABB57699	syc2435-h_at
Synpcc7942_1680	P14788	ABB57710	NA
Synpcc7942_1689	P27477	ABB57719	NA
Synpcc7942_1742	Q9R6W2	ABB57772	NA
Synpcc7942_1743	Q31ME6	ABB57773	NA
Synpcc7942_1771	Q55311	ABB57801	syc2337-h_at
Synpcc7942_1792	P43087	ABB57822	NA
Synpcc7942_1808	Q31M81	ABB57838	NA
Synpcc7942_1813	Q79N42	ABB57843	NA
Synpcc7942_1821	Q8GJL3	ABB57851	syc2288-h_at
Synpcc7942_1823	Q9Z3G5	ABB57853	NA
Synpcc7942_1824	Q8GJL5	ABB57854	syc2285-m_at
Synpcc7942_1829	Q8GJM0	ABB57859	NA
Synpcc7942_1833	Q8GJM5	ABB57863	NA
Synpcc7942_1834	Q8GJM6	ABB57864	NA
Synpcc7942_1838	Q8GJN0	ABB57868	NA
Synpcc7942_1845	Q8GJN7	ABB57875	NA
Synpcc7942_1847	Q31M42	ABB57877	NA
Synpcc7942_1891	Q31LZ8	ABB57921	NA
Synpcc7942_1898	Q31LZ1	ABB57928	NA
Synpcc7942_1920	Q31LW9	ABB57950	NA
Synpcc7942_1927	Q31LW2	ABB57957	NA
Synpcc7942_1933	Q31LV6	ABB57963	NA
Synpcc7942_1954	Q54775	ABB57984	NA
Synpcc7942_1976	Q31LR3	ABB58006	NA
Synpcc7942_1980	Q99QJ5	ABB58010	NA
Synpcc7942_1982	Q31LQ7	ABB58012	NA
Synpcc7942_1983	P26294	ABB58013	NA
Synpcc7942_1991	Q31LP8	ABB58021	NA
Synpcc7942_1992	Q31LP7	ABB58022	NA
Synpcc7942_1993	Q31LP6	ABB58023	NA
Synpcc7942_1994	Q31LP5	ABB58024	NA
Synpcc7942_2007	Q55235	ABB58037	NA
Synpcc7942_2008	Q07948	ABB58038	NA
Synpcc7942_2011	Q31LM8	ABB58041	NA
Synpcc7942_2020	Q31LL9	ABB58050	NA
Synpcc7942_2023	Q31LL6	ABB58053	NA
Synpcc7942_2031	Q31LK8	ABB58061	NA
Synpcc7942_2046	Q31LJ3	ABB58076	NA
Synpcc7942_2047	Q31LJ2	ABB58077	NA
Synpcc7942_2062	Q55276	ABB58092	NA
Synpcc7942_2072	Q59984	ABB58102	NA
Synpcc7942_2073	P50020	ABB58103	NA
Synpcc7942_2074	Q31LG5	ABB58104	NA
Synpcc7942_2087	Q31LF2	ABB58117	NA
Synpcc7942_2093	Q8VPV7	ABB58123	NA
Synpcc7942_2104	Q59948	ABB58134	NA
Synpcc7942_2105	O05347	ABB58135	NA
Synpcc7942_2110	Q31LC9	ABB58140	NA
Synpcc7942_2117	Q31LC2	ABB58147	NA
Synpcc7942_2122	Q31LB7	ABB58152	NA
Synpcc7942_2123	Q31LB6	ABB58153	NA
Synpcc7942_2132	Q31LA7	ABB58162	NA
Synpcc7942_2134	Q31LA5	ABB58164	NA
Synpcc7942_2136	Q31LA3	ABB58166	NA
Synpcc7942_2143	Q31L96	ABB58173	NA
Synpcc7942_2159	O50208	ABB58189	NA
Synpcc7942_2171	Q55024	ABB58201	NA
Synpcc7942_2175	Q31L64	ABB58205	NA
Synpcc7942_2190	Q31L49	ABB58220	NA
Synpcc7942_2204	Q31L35	ABB58234	NA
Synpcc7942_2206	Q31L33	ABB58236	NA
Synpcc7942_2208	Q31L31	ABB58238	NA
Synpcc7942_2209	Q31L30	ABB58239	NA
Synpcc7942_2215	P31160	ABB58245	NA
Synpcc7942_2217	Q31L22	ABB58247	NA
Synpcc7942_2218	Q31L21	ABB58248	NA
Synpcc7942_2220	Q31L19	ABB58250	NA
Synpcc7942_2221	Q31L18	ABB58251	NA
Synpcc7942_2222	Q31L17	ABB58252	NA
Synpcc7942_2224	Q31L15	ABB58254	NA
Synpcc7942_2227	Q31L12	ABB58257	NA
Synpcc7942_2229	Q31L10	ABB58259	NA
Synpcc7942_2230	Q31L09	ABB58260	NA
Synpcc7942_2231	Q31L08	ABB58261	NA
Synpcc7942_2232	Q31L07	ABB58262	NA
Synpcc7942_2234	Q31L05	ABB58264	NA
Synpcc7942_2235	Q31L04	ABB58265	NA
Synpcc7942_2244	Q31KZ5	ABB58274	NA
Synpcc7942_2247	Q31KZ2	ABB58277	NA
Synpcc7942_2259	Q31KY0	ABB58289	NA
Synpcc7942_2263	Q31KX6	ABB58293	NA
Synpcc7942_2274	O07345	ABB58304	NA
Synpcc7942_2289	Q31KV0	ABB58319	NA
Synpcc7942_2290	Q31KU9	ABB58320	NA
Synpcc7942_2297	Q31KU2	ABB58327	NA
Synpcc7942_2305	O68523	ABB58335	NA
Synpcc7942_2308	Q31KT1	ABB58338	NA
Synpcc7942_2309	Q7X4K8	ABB58339	NA
Synpcc7942_2312	Q31KS7	ABB58342	NA
Synpcc7942_2313	P22879	ABB58343	NA
Synpcc7942_2314	P22880	ABB58344	NA
Synpcc7942_2322	Q31KR7	ABB58352	NA
Synpcc7942_2324	O32463	ABB58354	NA
Synpcc7942_2333	Q54709	ABB58363	NA
Synpcc7942_2335	Q59943	ABB58365	NA
Synpcc7942_2336	Q31KQ3	ABB58366	NA
Synpcc7942_2340	Q31KP9	ABB58370	NA
Synpcc7942_2345	O05161	ABB58375	NA
Synpcc7942_2348	Q31KP1	ABB58378	NA
Synpcc7942_2375	Q31KL4	ABB58405	NA
Synpcc7942_2378	O85785	ABB58408	NA
Synpcc7942_2381	Q31KK8	ABB58411	NA
Synpcc7942_2393	Q8L1E5	ABB58423	NA
Synpcc7942_2394	Q8L1E4	ABB58424	NA
Synpcc7942_2401	Q31KI8	ABB58431	NA
Synpcc7942_2415	Q31KH4	ABB58445	NA
Synpcc7942_2423	Q31KG6	ABB58453	NA
Synpcc7942_2436	Q31KF3	ABB58466	NA
Synpcc7942_2437	Q31KF2	ABB58467	NA
Synpcc7942_2448	Q31KE1	ABB58478	NA
Synpcc7942_2450	Q31KD9	ABB58480	NA
Synpcc7942_2457	Q31KD2	ABB58487	NA
Synpcc7942_2463	Q31KC6	ABB58493	NA
Synpcc7942_2464	Q31KC5	ABB58494	NA
Synpcc7942_2468	P50021	ABB58498	NA
Synpcc7942_2471	Q8GIR7	ABB58501	NA
Synpcc7942_2473	Q8GIR9	ABB58503	NA
Synpcc7942_2477	Q8GIS3	ABB58507	NA
Synpcc7942_2480	Q8GIS6	ABB58510	NA
Synpcc7942_2481	Q8GIS7	ABB58511	NA
Synpcc7942_2482	Q8GIS8	ABB58512	NA
Synpcc7942_2486	Q8GIT2	ABB58516	NA
Synpcc7942_2487	Q8GIT3	ABB58517	NA
Synpcc7942_2491	Q8GIT7	ABB58521	NA
Synpcc7942_2496	Q935X0	ABB58526	NA
Synpcc7942_2497	P50590	ABB58527	NA
Synpcc7942_2498	Q54704	ABB58528	NA
Synpcc7942_2499	Q54705	ABB58529	NA
Synpcc7942_2501	Q935X2	ABB58531	NA
Synpcc7942_2503	Q935X4	ABB58533	NA
Synpcc7942_2506	Q55309	ABB58536	NA
Synpcc7942_2508	Q935X8	ABB58538	NA
Synpcc7942_2510	Q935Y0	ABB58540	NA
Synpcc7942_2511	Q935Y1	ABB58541	NA
Synpcc7942_2512	Q935Y2	ABB58542	NA
Synpcc7942_2518	Q935Y7	ABB58548	NA
Synpcc7942_2521	Q935Z1	ABB58551	NA
Synpcc7942_2522	Q935Z2	ABB58552	NA
Synpcc7942_2524	Q935Z3	ABB58554	NA
Synpcc7942_2525	O34125	ABB58555	NA
Synpcc7942_2526	O34126	ABB58556	NA
Synpcc7942_2537	Q9L4P3	ABB58567	NA
Synpcc7942_2538	Q9L4P4	ABB58568	NA
Synpcc7942_2541	Q31K48	ABB58571	NA
Synpcc7942_2559	Q31K30	ABB58589	NA
Synpcc7942_2565	Q54760	ABB58595	NA
Synpcc7942_2567	Q54757	ABB58597	NA
Synpcc7942_2577	O33701	ABB58607	syc1547-m_at
Synpcc7942_2579	P50026	ABB58609	NA
Synpcc7942_2580	P50022	ABB58610	NA
Synpcc7942_2606	Q31JY3	ABB58636	syc1518-m_at
Synpcc7942_B2626	Q8KUU9	ABB58655	NA
