ID	CT03	CT07	CT11	CT15	CT19	CT23	CT27	CT31	CT35	CT39	CT43	CT47
Cfl1	0.498593719396382	0.536549883655896	0.513296274900448	0.515766231849923	0.526008278458644	0.532133995124031	0.503571133985671	0.531408503955572	0.500509980820238	0.460253694435842	0.518258541300063	0.527242697686506
Cfl2	0.498593719396382	0.488055178287897	0.490651697285305	0.461845817628461	0.471606151424962	0.4445663381546	0.469529474550242	0.48196015421952	0.510125414367775	0.460340315608905	0.415284670748774	0.413830142143818
Sntb2	0.498593719396382	0.493738354821949	0.493743294760172	0.456013623044393	0.477171679857019	0.494439277765124	0.482819554216482	0.471284944410166	0.456001285857282	0.503208332141678	0.487332402728607	0.474238104807404
Snta1	0.498593719396382	0.557111668794498	0.477367389374447	0.473462277117969	0.536708837345713	0.575744997378037	0.449570559114963	0.498132558689642	0.549912256126115	0.578977317979857	0.485757350982243	0.51959370885868
Serpine2	0.498593719396382	0.522801862251504	0.511036041858359	0.507724568401683	0.532220139330124	0.533704012779802	0.527633875797195	0.53172939359911	0.516910236093722	0.559669571503539	0.534421634117355	0.546585347306764
Nes	0.498593719396382	0.706694892983441	0.401156768028844	0.419692051811496	0.561175478179722	0.50971586736139	0.540228295124777	0.519154174405239	0.653494629968746	0.463585264707585	0.265475912252254	0.333713986758977
Rack1 Gnb2-rs1 Gnb2l1	0.498593719396382	0.508905795098195	0.530196785211562	0.508188196264547	0.532714496193374	0.55167050918966	0.521297360911134	0.53995677880196	0.506322421608331	0.521800099734612	0.532109511205658	0.515268957338762
Dag1	0.498593719396382	0.559593361448018	0.525517273353572	0.548552724863003	0.556048832663397	0.548831949435374	0.560755499537528	0.539246195974564	0.566712295185813	0.5701816898829	0.541730510829498	0.54258840769794
Ap2a1	0.498593719396382	0.510185316289664	0.513182148411478	0.474002163767238	0.520904929200526	0.515638486526776	0.495163208469745	0.519307955919836	0.52108264998934	0.525050793120671	0.508379252934018	0.520419670451206
Slc12a2	0.498593719396382	0.51759081939476	0.464516218850918	0.528180928120235	0.494105095842245	0.534536882409473	0.470933383432499	0.454840534736425	0.499435429917033	0.464710163135514	0.453008705567136	0.465045440303622
Arhgdib	0.498593719396382	0.534798413286051	0.614792992810018	0.612642428084273	0.603454198008187	0.503743748787223	0.618039183512049	0.624977652060099	0.630100239261798	0.663625733646528	0.672148320863797	0.658543967536802
Hnrnpd	0.498593719396382	0.549893756840142	0.548994368809391	0.489193812371748	0.551926817422701	0.531838838200157	0.545248507261191	0.560628036836961	0.534586286838535	0.549581231368819	0.574782935556464	0.566726348792137
Phb2	0.498593719396382	0.510635056843447	0.506956939662773	0.499419827429764	0.50714797904064	0.515535685541983	0.498209956074389	0.507007902818239	0.510069831789271	0.504186713927982	0.514447983918933	0.513965832611492
Myh11	0.498593719396382	0.420761665175791	0.440574725766287	0.386429297557331	0.396291136792087	0.578231508680348	0.391164474149628	0.297526944204807	0.78941791759031	0.525930034695387	0.360029428264714	0.334008372344938
Pmp2	0.498593719396382	0.570056723047483	0.352839422146144	0.510766865114377	0.457343296754316	0.511417622963386	0.474388892227	0.475832080435489	0.538960797141294	0.404480100712841	0.246704525186204	0.402137715591328
Gng2	0.498593719396382	0.61614087424796	0.449055454560817	0.50611843123278	0.546965172941683	0.496688833531346	0.499913079119591	0.54922833413902	0.566326166719887	0.445913295608652	0.448476881215742	0.514826353005108
Cav1	0.498593719396382	0.499243904223147	0.434602530331354	0.479306658642484	0.504211446547606	0.497304398333161	0.504783610085387	0.507530209615003	0.482521643377158	0.507860749462774	0.510648259107165	0.54295998548598
Tpp2	0.498593719396382	0.513383800945627	0.507683601117059	0.463141276714675	0.490974470803589	0.485232129846968	0.48742982949944	0.494615438586509	0.484462983418187	0.496121757034523	0.461667820173984	0.455038205154835
Mfge8	0.498593719396382	0.531123380712411	0.497642893642508	0.52244842608626	0.517174090664025	0.508284507106412	0.52759838051924	0.499750328143906	0.536713060468354	0.508050558654712	0.542513700770938	0.53588686945182
Aimp1	0.498593719396382	0.487447629675109	0.514332756476021	0.497515687337542	0.494659786255603	0.508137405776916	0.499919028424169	0.502826380880497	0.482109304562717	0.481844418039419	0.511433699852842	0.509511292297968
Ap1m1	0.498593719396382	0.453364733239129	0.507202272112258	0.505023041299298	0.509890155890922	0.472012622346013	0.477006422426111	0.471607138535616	0.506490118644625	0.510527280427139	0.520148579137813	0.476877887480629
Acsl1	0.498593719396382	0.413542866220067	0.46340056671521	0.426044897086892	0.441280417717284	0.433868340906964	0.414750052660939	0.418995539137413	0.416247564222036	0.439255639233873	0.412124884950654	0.402053091639889
Vcan	0.498593719396382	0.50434385026195	0.551901620825493	0.5591360708339	0.558883425773378	0.557606850194232	0.540330604084839	0.547291792393985	0.536920216696656	0.555327450691557	0.582955462938947	0.564670086517416
Epb41l2	0.498593719396382	0.551002436570916	0.493358967434044	0.547311343737545	0.542974334125126	0.516814481892581	0.53951229894979	0.500263942972594	0.526357056149955	0.523640489902556	0.498083764761754	0.538169916903783
Fcgrt	0.498593719396382	0.535170315312349	0.505197911290039	0.492225694822972	0.457442990462699	0.455589633246492	0.550645104334277	0.517816744128553	0.50739422703505	0.438772852770243	0.466922477999131	0.458891291359981
Rsu1	0.498593719396382	0.524207502362529	0.515045352244682	0.52233424590231	0.545291362391838	0.542307932173169	0.521724237910484	0.528148698887052	0.576455350119546	0.560233371282781	0.534812993748518	0.533090782427255
Ecm1	0.498593719396382	0.540623023888457	0.512552650879097	0.535698597061524	0.52707041862337	0.511840939795226	0.546359866197757	0.537813399523638	0.530745356217291	0.520941206902877	0.525122272391916	0.524815035503882
Ddx3x D1Pas1-rs2 Ddx3 Dead3 Erh	0.498593719396382	0.523440321054213	0.538063261297804	0.543711646876505	0.550109127490405	0.560731034234518	0.537870569372103	0.548134691898561	0.528386506262156	0.545902333418449	0.543682513005898	0.536724528028436
Spr	0.498593719396382	0.534316063249268	0.526551840359734	0.526662692613171	0.545640312006369	0.534141641351001	0.524387550237201	0.546580199124679	0.538502027143586	0.53490557862204	0.550161293942942	0.550278404350515
Pura	0.498593719396382	0.492759102746736	0.577664137233439	0.563132477133254	0.563316546919175	0.556657651174888	0.542006902805484	0.548489827356884	0.542148564808616	0.578778945224482	0.578913428978132	0.642405442117444
Dync1h1	0.498593719396382	0.5226775010359	0.517241760239159	0.498536463503572	0.531561743059856	0.541089822319964	0.528662377338914	0.522085453560071	0.545973472483591	0.525940241623079	0.51921850082663	0.512732137066212
Uchl1	0.498593719396382	0.588134826749906	0.434450098885624	0.55443512756341	0.514696940572777	0.490194213154145	0.516573452653165	0.51075036056798	0.582923033652661	0.471859201721254	0.297391299431644	0.4192996958861
Azgp1	0.498593719396382	0.533435289175126	0.537603674457963	0.534281466224633	0.565151843841038	0.535341268299753	0.557067103946168	0.589260322193214	0.557465461050954	0.563055115738208	0.570085930055783	0.578662597633121
Mpz	0.498593719396382	0.57592516918966	0.376523041983475	0.472689539909749	0.43525849593161	0.442835650886209	0.490806403611141	0.485275397245857	0.508564570942086	0.377789510578745	0.237385419096572	0.401310758614653
Sod3	0.498593719396382	0.53887154880272	0.519193626399306	0.559105939924445	0.536612967481116	0.52110426672812	0.548362497859582	0.522536869248329	0.516261218160651	0.556119977023575	0.568208474879732	0.560157706864236
Slk Kiaa0204 Stk2	0.498593719396382	0.554433172867549	0.552285047002576	0.569151054441426	0.562326296473766	0.564002413591202	0.545535927226483	0.572091615299036	0.551569135217235	0.580042680588039	0.585058776495363	0.582579095955757
