ID	LD6.5	LD9.5	LD11.5	LD12.5	LD14.5	LD17.5	LD21.5	LD23.5	LD24.5	LD26.5	LD30.5	LD33.5	LD35.5	LD36.5	LD38.5	LD41.5	LD45.5	LD47.5	LD48.5	LD50.5
Q8KPS4	0.9525768	0.982426345	0.988780744	0.931107875	1.014612013	1.07944371	0.972747224	0.994260074	1	1.234809608	0.897015608	0.910542036	0.826608754	0.872569443	0.863177279	0.841782708	0.934329368	0.973195294	1.122793785	1.176521858
Q8KPR8	1.222643941	1.194538083	1.125900469	1.131357864	1.322817708	1.110708256	1.29807564	1.430869413	1.216186001	0.91159094	0.894334532	1.055601503	0.922783882	1.122793785	1.211434674	1.22179966	1.058766033	0.918967177	1.104332873	1.034903844
Q79PF2	0.894540484	1.011113712	1.042077455	0.914744907	1.132921973	1.057060878	1.016248693	0.898462593	0.988097954	1.268235776	1.049542429	1.011812406	0.942540456	0.973867785	0.936267611	0.790496588	1.133965913	0.838687171	0.929822391	1.197843278
Q8KPR2	0.860597341	1.000921458	1.056817509	0.986506611	1.048093433	1.021174591	0.980618314	0.93734615	1.067824793	1.209483645	0.858815749	0.782528205	0.783429643	0.754397082	0.772858522	0.936914586	1.168691808	1.042557459	1.036811964	1.079195187
Q8KPQ5	0.695344462	0.803896245	0.834641548	0.829277725	1.016248693	0.999769768	1.028253035	0.924272433	1.009252886	1.437474006	0.835603018	0.789768849	0.793231587	1.061451121	0.904273908	0.719283338	1.037767343	0.674062241	1.260665884	1.151595608
Q8KPQ2	0.79909792	1.038245363	1.093452697	1.074236736	1.248820445	0.851726187	0.91622049	0.951042664	0.906358475	1.104332873	0.881454704	1.002997845	1.144458371	0.820918419	0.897222178	1.156378478	1.361758203	1.209483645	1.050993427	1.102808234
Q8KPQ0	0.96738645	1.015079367	1.011113712	0.864768775	1.133965913	1.126419085	1.129535799	1.027306415	1.068070697	1.200604592	1.083677359	1.168960941	0.960727008	1.043518133	1.001843766	1.168422738	1.238226231	1.220112847	1.131618399	1.257476854
Q8GJL5	0.927683858	0.946891025	1.051477539	0.958296716	1.181408252	1.078946722	1.033951101	1.016950935	1.037528416	1.270866699	0.972523266	0.910542036	0.851726187	0.796892978	0.855657576	1.044479691	1.347100508	1.337827134	1.319775312	1.326477843
Q79N42	1.206979795	1.081433951	1.083178422	0.992201776	1.009485302	1.048576209	1.172465305	1.293897876	1.051235455	0.740627784	0.76913044	1.137889264	0.979941161	1.119695673	1.10357029	1.211434674	1.000691014	0.959621567	0.972523266	0.755092228
Q8GJN7	0.708271881	0.684069142	1.423311636	1.259215323	0.348337315	1.282921254	1.348962883	1.264736347	0.913061435	0.587489353	0.431022558	0.560918805	0.537526649	0.642687717	0.905107159	1.249108029	1.49520245	1.818025624	1.017185124	0.825657633
