ID	LD6.5	LD9.5	LD11.5	LD12.5	LD14.5	LD17.5	LD21.5	LD23.5	LD24.5	LD26.5	LD30.5	LD33.5	LD35.5	LD36.5	LD38.5	LD41.5	LD45.5	LD47.5	LD48.5	LD50.5
Q31RN5	85.7647086311177	82.8714513849371	59.5302845134161	157.765508377503	662.0987713816	1024.55035814898	1177.83596895602	1051.62491039669	365.142151898065	157.024966736507	164.356484943124	174.54277638421	203.140691997546	208.79151134621	572.412534748545	703.592200042208	903.335785102587	1210.86317570823	343.022447702498	269.766522895991
Q31QG0	88.9919551609452	202.624541145996	170.570640972566	204.54024972015	520.298811437075	626.998354772078	755.434478291734	768.055055866697	706.435192346977	443.515386560033	151.726939013773	224.848957163441	202.161020322662	199.298375202916	345.885679203361	601.681992698311	844.208573422802	870.507380133028	745.836648910784	439.997016722242
Q31KQ3	249.092514199937	230.52402500961	253.928921580586	357.739922682204	849.606052165355	898.028565036682	848.403710697812	800.889510000583	266.965430187351	145.123949704733	356.346134871535	351.679830343872	279.370799534869	372.14503601138	543.867262368005	753.469674114991	759.738636971939	770.421357003293	284.115292775919	268.295905954506
Q31KI8	145.315638620865	102.020438807128	101.199850519583	340.015123434795	649.008081453124	665.095038037094	776.092741260999	812.518979268131	729.065741598655	357.914507267093	205.478134282355	193.28703172471	180.958170196587	379.090409292859	587.501671186535	679.467354126552	746.013304169272	824.312945800381	613.70217860966	344.198711104766
Q31PT9	455.109064571855	89.8842237716391	63.6705807268267	232.619971684669	595.686464393199	704.093096181682	896.336697061185	1120.97010401794	236.329945342417	213.60906698967	68.7870699421597	58.2565463766427	49.9999549837364	113.791675857508	263.534732884972	642.404239226097	1285.07482690837	1532.39828832912	430.536241089444	180.958170196587
Q31PT4	527.453725736345	197.931304656953	239.132967386757	485.899537917483	284.537502340474	210.332946400745	412.992051138325	807.351354587294	1242.76101634289	369.886811418998	785.325869952997	338.355127889433	220.802136164295	327.026956302444	315.5123316594	340.348040702256	371.782845659601	334.48409896056	1044.72989448868	549.35922378529
P38043	367.462485939162	1240.144224833	849.606052165355	521.172435182316	212.045828240966	631.191455118524	420.048386898102	337.280223324111	311.197463576621	246.305488280328	346.224005946658	477.330867549847	459.738494090203	467.779566214471	546.475858724963	568.733016718518	440.741105504387	449.6558967403	437.877646591331	429.497095012931
Q31S87	223.492555428197	447.060592503741	324.231223674734	399.022444873748	909.744908207146	416.30444128217	512.991092283221	517.810487764679	478.020198410333	360.103615180873	390.496862025287	529.479060191974	439.890816206354	542.048380036813	511.0263903197	501.671840633831	415.097022898556	412.392498210003	443.515386560033	378.445610141235
Q31RB8	175.673267336254	772.429151376574	928.365008716877	672.24396626058	228.15804029385	694.799848508979	356.172272136962	226.840527510739	251.8456713527	246.120711716738	440.528386095541	443.622421898745	396.033009876148	466.991932154415	441.166837757166	488.240567446235	463.407441610265	447.49214797583	424.953171500933	506.753756349051
Q31PR6	238.235087808133	512.130644751521	472.191129961598	546.868185349277	425.672992223234	441.060367770056	440.741105504387	420.251672368888	429.912466072774	339.516321932787	478.020198410333	500.469086889991	444.801436744015	379.736248671867	510.658813966892	478.940788886604	405.360322917205	549.622072666349	490.946112799835	604.269307675556
Q31PE9	209.640685101852	361.158870843685	456.097319712104	411.494719866484	554.639273718336	516.322984612032	564.536498831421	529.352258087659	525.435839641351	483.685523722542	605.855731708632	567.240499738344	371.330577093752	348.686217319686	434.926877046138	459.849265346635	620.463573960045	742.136269602277	520.423528685095	493.547467667895
