Uniprot.Accession	Gene.name	Gene.Name..Synpcc7942.only.
Q31PN8	Synpcc7942_0951	Synpcc7942_0951
Q31PN6	Synpcc7942_0953	Synpcc7942_0953
Q31PN5	Synpcc7942_0954	Synpcc7942_0954
Q31PN4	Synpcc7942_0955	Synpcc7942_0955
Q31PN3	Synpcc7942_0956	Synpcc7942_0956
Q31PN2	Synpcc7942_0957	Synpcc7942_0957
Q31PN1	Synpcc7942_0958	Synpcc7942_0958
Q31PM9	Synpcc7942_0960	Synpcc7942_0960
Q31PM5	Synpcc7942_0964	Synpcc7942_0964
Q31PM4	Synpcc7942_0965	Synpcc7942_0965
Q31PM0	Synpcc7942_0969	Synpcc7942_0969
Q31PL8	Synpcc7942_0971	Synpcc7942_0971
Q31PL7	Synpcc7942_0972	Synpcc7942_0972
Q31PL3	Synpcc7942_0976	Synpcc7942_0976
Q31PL2	Synpcc7942_0977	Synpcc7942_0977
Q31PL1	Synpcc7942_0978	Synpcc7942_0978
Q31PK8	Synpcc7942_0981	Synpcc7942_0981
Q31PK7	Synpcc7942_0982	Synpcc7942_0982
Q31PK6	Synpcc7942_0983	Synpcc7942_0983
Q31PK1	Synpcc7942_0988	Synpcc7942_0988
Q31PJ5	Synpcc7942_0994	Synpcc7942_0994
Q31PI8	Synpcc7942_1001	Synpcc7942_1001
Q31PI7	Synpcc7942_1002	Synpcc7942_1002
Q31PI6	Synpcc7942_1003	Synpcc7942_1003
Q31PI4	Synpcc7942_1005	Synpcc7942_1005
Q31PI2	Synpcc7942_1007	Synpcc7942_1007
Q31PH9	Synpcc7942_1010	Synpcc7942_1010
Q31PH5	Synpcc7942_1014	Synpcc7942_1014
Q31PH4	Synpcc7942_1015	Synpcc7942_1015
Q31PH3	Synpcc7942_1016	Synpcc7942_1016
Q31PH0	Synpcc7942_1019	Synpcc7942_1019
Q31PG7	Synpcc7942_1022	Synpcc7942_1022
Q31PG6	Synpcc7942_1023	Synpcc7942_1023
Q31PG4	Synpcc7942_1025	Synpcc7942_1025
Q31PG3	Synpcc7942_1026	Synpcc7942_1026
Q31PG0	Synpcc7942_1029	Synpcc7942_1029
Q31PF7	Synpcc7942_1032	Synpcc7942_1032
Q31PF6	Synpcc7942_1033	Synpcc7942_1033
Q31PF0	Synpcc7942_1039	Synpcc7942_1039
Q31PE5	Synpcc7942_1044	Synpcc7942_1044
Q31PE4	Synpcc7942_1045	Synpcc7942_1045
Q31PE0	Synpcc7942_1049	Synpcc7942_1049
Q31PD9	Synpcc7942_1050	Synpcc7942_1050
Q31PD8	Synpcc7942_1051	Synpcc7942_1051
