Uniprot.Accession	Gene.name	Gene.Name..Synpcc7942.only.
Q31M80	Synpcc7942_1809	Synpcc7942_1809
Q31M79	Synpcc7942_1810	Synpcc7942_1810
Q31M78	Synpcc7942_1811	Synpcc7942_1811
Q31M72	Synpcc7942_1817	Synpcc7942_1817
Q31M69	Synpcc7942_1820	Synpcc7942_1820
Q31M63	Synpcc7942_1826	Synpcc7942_1826
Q31M62	Synpcc7942_1827	Synpcc7942_1827
Q31M58	Synpcc7942_1831	Synpcc7942_1831
Q31M50	Synpcc7942_1839	Synpcc7942_1839
Q31M49	Synpcc7942_1840	Synpcc7942_1840
Q31M48	Synpcc7942_1841	Synpcc7942_1841
Q31M43	Synpcc7942_1846	Synpcc7942_1846
Q31M41	Synpcc7942_1848	Synpcc7942_1848
Q31M40	Synpcc7942_1849	Synpcc7942_1849
Q31M39	Synpcc7942_1850	Synpcc7942_1850
Q31M37	Synpcc7942_1852	Synpcc7942_1852
Q31M35	Synpcc7942_1854	Synpcc7942_1854
Q31M32	Synpcc7942_1857	Synpcc7942_1857
Q9Z3G6	Synpcc7942_1858	Synpcc7942_1858
Q31M30	Synpcc7942_1859	Synpcc7942_1859
Q31M29	Synpcc7942_1860	Synpcc7942_1860
Q31M27	Synpcc7942_1862	Synpcc7942_1862
Q31M26	Synpcc7942_1863	Synpcc7942_1863
Q31M25	Synpcc7942_1864	Synpcc7942_1864
Q31M23	Synpcc7942_1866	Synpcc7942_1866
Q31M19	Synpcc7942_1870	Synpcc7942_1870
Q31M18	Synpcc7942_1871	Synpcc7942_1871
Q31M16	Synpcc7942_1873	Synpcc7942_1873
Q31M15	Synpcc7942_1874	Synpcc7942_1874
Q31M14	Synpcc7942_1875	Synpcc7942_1875
Q31M13	Synpcc7942_1876	Synpcc7942_1876
Q31M10	Synpcc7942_1879	Synpcc7942_1879
Q31M08	Synpcc7942_1881	Synpcc7942_1881
Q31M06	Synpcc7942_1883	Synpcc7942_1883
Q31M05	Synpcc7942_1884	Synpcc7942_1884
Q31M04	Synpcc7942_1885	Synpcc7942_1885
Q31M02	Synpcc7942_1887	Synpcc7942_1887
Q31M00	Synpcc7942_1889	Synpcc7942_1889
Q31LZ9	Synpcc7942_1890	Synpcc7942_1890
Q31LZ7	Synpcc7942_1892	Synpcc7942_1892
Q31LZ6	Synpcc7942_1893	Synpcc7942_1893
Q31LZ4	Synpcc7942_1895	Synpcc7942_1895
Q31LZ0	Synpcc7942_1899	Synpcc7942_1899
Q31LY9	Synpcc7942_1900	Synpcc7942_1900
Q31LY8	Synpcc7942_1901	Synpcc7942_1901
Q31LY7	Synpcc7942_1902	Synpcc7942_1902
Q31LY6	Synpcc7942_1903	Synpcc7942_1903
Q31LY5	Synpcc7942_1904	Synpcc7942_1904
Q31LY4	Synpcc7942_1905	Synpcc7942_1905
Q31LY3	Synpcc7942_1906	Synpcc7942_1906
Q31LY1	Synpcc7942_1908	Synpcc7942_1908
Q31LY0	Synpcc7942_1909	Synpcc7942_1909
Q31LX9	Synpcc7942_1910	Synpcc7942_1910
Q31LX8	Synpcc7942_1911	Synpcc7942_1911
Q31LX5	Synpcc7942_1914	Synpcc7942_1914
Q31LX4	Synpcc7942_1915	Synpcc7942_1915
Q31LX3	Synpcc7942_1916	Synpcc7942_1916
Q31LX0	Synpcc7942_1919	Synpcc7942_1919
Q31LW8	Synpcc7942_1921	Synpcc7942_1921
Q31LW7	Synpcc7942_1922	Synpcc7942_1922
Q31LW6	Synpcc7942_1923	Synpcc7942_1923
Q31LW5	Synpcc7942_1924	Synpcc7942_1924
Q31LW4	Synpcc7942_1925	Synpcc7942_1925
Q31LW3	Synpcc7942_1926	Synpcc7942_1926
Q31LW1	Synpcc7942_1928	Synpcc7942_1928
Q31LV9	Synpcc7942_1930	Synpcc7942_1930
Q31LV8	Synpcc7942_1931	Synpcc7942_1931
Q31LV7	Synpcc7942_1932	Synpcc7942_1932
Q31LV3	Synpcc7942_1936	Synpcc7942_1936
Q31LV2	Synpcc7942_1937	Synpcc7942_1937
Q31LU7	Synpcc7942_1942	Synpcc7942_1942
Q93AK0	Synpcc7942_1943	Synpcc7942_1943
Q31LU5	Synpcc7942_1944	Synpcc7942_1944
Q31LU3	Synpcc7942_1946	Synpcc7942_1946
Q31LU2	Synpcc7942_1947	Synpcc7942_1947
Q31LT9	Synpcc7942_1950	Synpcc7942_1950
Q54773	Synpcc7942_1952	Synpcc7942_1952
Q54777	Synpcc7942_1957	Synpcc7942_1957
Q31LT1	Synpcc7942_1958	Synpcc7942_1958
Q31LS9	Synpcc7942_1960	Synpcc7942_1960
Q31LS4	Synpcc7942_1965	Synpcc7942_1965
Q31LS1	Synpcc7942_1968	Synpcc7942_1968
Q31LS0	Synpcc7942_1969	Synpcc7942_1969
Q31LR7	Synpcc7942_1972	Synpcc7942_1972
Q31LR6	Synpcc7942_1973	Synpcc7942_1973
Q31LR4	Synpcc7942_1975	Synpcc7942_1975
Q31LR2	Synpcc7942_1977	Synpcc7942_1977
Q31LQ4	Synpcc7942_1985	Synpcc7942_1985
Q31LQ3	Synpcc7942_1986	Synpcc7942_1986
Q31LP4	Synpcc7942_1995	Synpcc7942_1995
Q31LP3	Synpcc7942_1996	Synpcc7942_1996
Q31LP0	Synpcc7942_1999	Synpcc7942_1999
Q31LN9	Synpcc7942_2000	Synpcc7942_2000
Q31LN7	Synpcc7942_2002	Synpcc7942_2002
Q31LN6	Synpcc7942_2003	Synpcc7942_2003
Q31LN5	Synpcc7942_2004	Synpcc7942_2004
Q31LN4	Synpcc7942_2005	Synpcc7942_2005
Q31LN3	Synpcc7942_2006	Synpcc7942_2006
Q31LN0	Synpcc7942_2009	Synpcc7942_2009
Q31LM4	Synpcc7942_2015	Synpcc7942_2015
Q31LL7	Synpcc7942_2022	Synpcc7942_2022
Q31LL1	Synpcc7942_2028	Synpcc7942_2028
Q31LK9	Synpcc7942_2030	Synpcc7942_2030
Q31LK6	Synpcc7942_2033	Synpcc7942_2033
Q31LK5	Synpcc7942_2034	Synpcc7942_2034
Q31LK4	Synpcc7942_2035	Synpcc7942_2035
Q31LK3	Synpcc7942_2036	Synpcc7942_2036
Q31LK1	Synpcc7942_2038	Synpcc7942_2038
Q31LK0	Synpcc7942_2039	Synpcc7942_2039
Q31LJ7	Synpcc7942_2042	Synpcc7942_2042
Q31LJ5	Synpcc7942_2044	Synpcc7942_2044
Q31LI9	Synpcc7942_2050	Synpcc7942_2050
Q31LI6	Synpcc7942_2053	Synpcc7942_2053
Q31LI5	Synpcc7942_2054	Synpcc7942_2054
Q31LI1	Synpcc7942_2058	Synpcc7942_2058
Q31LH9	Synpcc7942_2060	Synpcc7942_2060
Q7X386	Synpcc7942_2061	Synpcc7942_2061
Q31LH2	Synpcc7942_2067	Synpcc7942_2067
Q31LH1	Synpcc7942_2068	Synpcc7942_2068
Q31LH0	Synpcc7942_2069	Synpcc7942_2069
Q31LG9	Synpcc7942_2070	Synpcc7942_2070
Q31LG8	Synpcc7942_2071	Synpcc7942_2071
Q31LG4	Synpcc7942_2075	Synpcc7942_2075
Q31LG1	Synpcc7942_2078	Synpcc7942_2078
Q31LF9	Synpcc7942_2080	Synpcc7942_2080
Q31LF8	Synpcc7942_2081	Synpcc7942_2081
Q31LF7	Synpcc7942_2082	Synpcc7942_2082
Q31LF4	Synpcc7942_2085	Synpcc7942_2085
Q31LF3	Synpcc7942_2086	Synpcc7942_2086
Q31LF0	Synpcc7942_2089	Synpcc7942_2089
Q31LE9	Synpcc7942_2090	Synpcc7942_2090
Q31LE7	Synpcc7942_2092	Synpcc7942_2092
Q8VPV6	Synpcc7942_2094	Synpcc7942_2094
Q31LE4	Synpcc7942_2095	Synpcc7942_2095
Q31LE3	Synpcc7942_2096	Synpcc7942_2096
Q31LE1	Synpcc7942_2098	Synpcc7942_2098
Q31LE0	Synpcc7942_2099	Synpcc7942_2099
Q31LD9	Synpcc7942_2100	Synpcc7942_2100
Q31LD8	Synpcc7942_2101	Synpcc7942_2101
Q31LD6	Synpcc7942_2103	Synpcc7942_2103
Q31LD2	Synpcc7942_2107	Synpcc7942_2107
Q31LD0	Synpcc7942_2109	Synpcc7942_2109
Q31LC8	Synpcc7942_2111	Synpcc7942_2111
Q31LC4	Synpcc7942_2115	Synpcc7942_2115
Q31LC1	Synpcc7942_2118	Synpcc7942_2118
Q31LC0	Synpcc7942_2119	Synpcc7942_2119
Q31LB8	Synpcc7942_2121	Synpcc7942_2121
Q31LB5	Synpcc7942_2124	Synpcc7942_2124
P35086	Synpcc7942_2126	Synpcc7942_2126
Q31LB0	Synpcc7942_2129	Synpcc7942_2129
Q31LA8	Synpcc7942_2131	Synpcc7942_2131
Q31LA2	Synpcc7942_2137	Synpcc7942_2137
Q31LA0	Synpcc7942_2139	Synpcc7942_2139
Q31L97	Synpcc7942_2142	Synpcc7942_2142
Q31L95	Synpcc7942_2144	Synpcc7942_2144
Q31L94	Synpcc7942_2145	Synpcc7942_2145
Q31L93	Synpcc7942_2146	Synpcc7942_2146
Q31L92	Synpcc7942_2147	Synpcc7942_2147
Q31L91	Synpcc7942_2148	Synpcc7942_2148
Q31L89	Synpcc7942_2150	Synpcc7942_2150
Q31L87	Synpcc7942_2152	Synpcc7942_2152
Q31L84	Synpcc7942_2155	Synpcc7942_2155
Q31L83	Synpcc7942_2156	Synpcc7942_2156
Q31L79	Synpcc7942_2160	Synpcc7942_2160
Q31L76	Synpcc7942_2163	Synpcc7942_2163
Q31L71	Synpcc7942_2168	Synpcc7942_2168
Q31L59	Synpcc7942_2180	Synpcc7942_2180
Q31L56	Synpcc7942_2183	Synpcc7942_2183
Q31L55	Synpcc7942_2184	Synpcc7942_2184
Q31L52	Synpcc7942_2187	Synpcc7942_2187
Q31L46	Synpcc7942_2193	Synpcc7942_2193
Q31L43	Synpcc7942_2196	Synpcc7942_2196
Q31L01	Synpcc7942_2238	Synpcc7942_2238
Q31L00	Synpcc7942_2239	Synpcc7942_2239
Q31KZ8	Synpcc7942_2241	Synpcc7942_2241
Q31KZ6	Synpcc7942_2243	Synpcc7942_2243
Q31KZ1	Synpcc7942_2248	Synpcc7942_2248
Q31KY6	Synpcc7942_2253	Synpcc7942_2253
Q31KY4	Synpcc7942_2255	Synpcc7942_2255
Q31KY3	Synpcc7942_2256	Synpcc7942_2256
Q31KY2	Synpcc7942_2257	Synpcc7942_2257
Q31KY1	Synpcc7942_2258	Synpcc7942_2258
Q31KX9	Synpcc7942_2260	Synpcc7942_2260
Q31KX8	Synpcc7942_2261	Synpcc7942_2261
Q31KX7	Synpcc7942_2262	Synpcc7942_2262
Q31KX5	Synpcc7942_2264	Synpcc7942_2264
Q31KX2	Synpcc7942_2267	Synpcc7942_2267
Q31KW8	Synpcc7942_2271	Synpcc7942_2271
Q31KW1	Synpcc7942_2278	Synpcc7942_2278
Q31KV8	Synpcc7942_2281	Synpcc7942_2281
Q31KV7	Synpcc7942_2282	Synpcc7942_2282
Q31KV5	Synpcc7942_2284	Synpcc7942_2284
Q31KV2	Synpcc7942_2287	Synpcc7942_2287
Q31KU5	Synpcc7942_2294	Synpcc7942_2294
Q31KU4	Synpcc7942_2295	Synpcc7942_2295
Q31KT6	Synpcc7942_2303	Synpcc7942_2303
Q31KT3	Synpcc7942_2306	Synpcc7942_2306
Q31KT2	Synpcc7942_2307	Synpcc7942_2307
Q31KS8	Synpcc7942_2311	Synpcc7942_2311
Q31KR9	Synpcc7942_2320	Synpcc7942_2320
Q31KR6	Synpcc7942_2323	Synpcc7942_2323
Q31KR4	Synpcc7942_2325	Synpcc7942_2325
Q31KR3	Synpcc7942_2326	Synpcc7942_2326
Q31KR1	Synpcc7942_2328	Synpcc7942_2328
Q31KR0	Synpcc7942_2329	Synpcc7942_2329
Q31KQ9	Synpcc7942_2330	Synpcc7942_2330
Q31KQ2	Synpcc7942_2337	Synpcc7942_2337
Q31KQ0	Synpcc7942_2339	Synpcc7942_2339
Q31KP5	Synpcc7942_2344	Synpcc7942_2344
Q31KP3	Synpcc7942_2346	Synpcc7942_2346
Q31KP2	Synpcc7942_2347	Synpcc7942_2347
Q31KP0	Synpcc7942_2349	Synpcc7942_2349
Q31KN9	Synpcc7942_2350	Synpcc7942_2350
Q31KN8	Synpcc7942_2351	Synpcc7942_2351
Q31KN7	Synpcc7942_2352	Synpcc7942_2352
Q31KN5	Synpcc7942_2354	Synpcc7942_2354
Q31KN4	Synpcc7942_2355	Synpcc7942_2355
Q31KN2	Synpcc7942_2357	Synpcc7942_2357
Q31KN1	Synpcc7942_2358	Synpcc7942_2358
Q31KM9	Synpcc7942_2360	Synpcc7942_2360
Q31KM7	Synpcc7942_2362	Synpcc7942_2362
Q31KM6	Synpcc7942_2363	Synpcc7942_2363
Q31KM5	Synpcc7942_2364	Synpcc7942_2364
Q31KM3	Synpcc7942_2366	Synpcc7942_2366
Q31KM1	Synpcc7942_2368	Synpcc7942_2368
Q31KM0	Synpcc7942_2369	Synpcc7942_2369
Q31KL8	Synpcc7942_2371	Synpcc7942_2371
Q31KL7	Synpcc7942_2372	Synpcc7942_2372
Q31KL6	Synpcc7942_2373	Synpcc7942_2373
Q31KK9	Synpcc7942_2380	Synpcc7942_2380
Q31KK5	Synpcc7942_2384	Synpcc7942_2384
Q31KK4	Synpcc7942_2385	Synpcc7942_2385
Q31KK2	Synpcc7942_2387	Synpcc7942_2387
Q31KK1	Synpcc7942_2388	Synpcc7942_2388
Q31KJ9	Synpcc7942_2390	Synpcc7942_2390
Q31KJ7	Synpcc7942_2392	Synpcc7942_2392
Q31KJ4	Synpcc7942_2395	Synpcc7942_2395
Q31KJ3	Synpcc7942_2396	Synpcc7942_2396
Q31KJ2	Synpcc7942_2397	Synpcc7942_2397
Q31KI9	Synpcc7942_2400	Synpcc7942_2400
Q31KI6	Synpcc7942_2403	Synpcc7942_2403
Q31KI2	Synpcc7942_2407	Synpcc7942_2407
Q31KI1	Synpcc7942_2408	Synpcc7942_2408
Q31KH8	Synpcc7942_2411	Synpcc7942_2411
Q31KH7	Synpcc7942_2412	Synpcc7942_2412
Q31KG4	Synpcc7942_2425	Synpcc7942_2425
Q31KG2	Synpcc7942_2427	Synpcc7942_2427
Q31KG0	Synpcc7942_2429	Synpcc7942_2429
Q31KF7	Synpcc7942_2432	Synpcc7942_2432
Q31KF5	Synpcc7942_2434	Synpcc7942_2434
Q31KF4	Synpcc7942_2435	Synpcc7942_2435
Q31KE5	Synpcc7942_2444	Synpcc7942_2444
Q31KE3	Synpcc7942_2446	Synpcc7942_2446
Q31KE2	Synpcc7942_2447	Synpcc7942_2447
Q31KE0	Synpcc7942_2449	Synpcc7942_2449
Q31KD8	Synpcc7942_2451	Synpcc7942_2451
Q31KD7	Synpcc7942_2452	Synpcc7942_2452
Q31KD6	Synpcc7942_2453	Synpcc7942_2453
Q31KD4	Synpcc7942_2455	Synpcc7942_2455
Q31KD3	Synpcc7942_2456	Synpcc7942_2456
Q31KD0	Synpcc7942_2459	Synpcc7942_2459
Q31KC8	Synpcc7942_2461	Synpcc7942_2461
Q31KC4	Synpcc7942_2465	Synpcc7942_2465
Q31KC3	Synpcc7942_2466	Synpcc7942_2466
Q31KC2	Synpcc7942_2467	Synpcc7942_2467
Q31KC0	Synpcc7942_2469	Synpcc7942_2469
Q31KB7	Synpcc7942_2472	Synpcc7942_2472
Q31KB0	Synpcc7942_2479	Synpcc7942_2479
Q31KA6	Synpcc7942_2483	Synpcc7942_2483
Q31K87	Synpcc7942_2502	Synpcc7942_2502
Q31K82	Synpcc7942_2507	Synpcc7942_2507
Q31K76	Synpcc7942_2513	Synpcc7942_2513
Q31K73	Synpcc7942_2516	Synpcc7942_2516
Q31K70	Synpcc7942_2519	Synpcc7942_2519
Q31K61	Synpcc7942_2528	Synpcc7942_2528
Q31K60	Synpcc7942_2529	Synpcc7942_2529
Q31K57	Synpcc7942_2532	Synpcc7942_2532
Q31K54	Synpcc7942_2535	Synpcc7942_2535
Q31K53	Synpcc7942_2536	Synpcc7942_2536
Q31K50	Synpcc7942_2539	Synpcc7942_2539
Q31K49	Synpcc7942_2540	Synpcc7942_2540
Q31K47	Synpcc7942_2542	Synpcc7942_2542
Q31K46	Synpcc7942_2543	Synpcc7942_2543
Q31K45	Synpcc7942_2544	Synpcc7942_2544
Q31K44	Synpcc7942_2545	Synpcc7942_2545
Q31K41	Synpcc7942_2548	Synpcc7942_2548
Q31K34	Synpcc7942_2555	Synpcc7942_2555
Q31K32	Synpcc7942_2557	Synpcc7942_2557
Q31K31	Synpcc7942_2558	Synpcc7942_2558
Q54763	Synpcc7942_2562	Synpcc7942_2562
Q54762	Synpcc7942_2563	Synpcc7942_2563
Q31K23	Synpcc7942_2566	Synpcc7942_2566
Q31K21	Synpcc7942_2568	Synpcc7942_2568
Q31K17	Synpcc7942_2572	Synpcc7942_2572
O33700	Synpcc7942_2578	Synpcc7942_2578
Q31K08	Synpcc7942_2581	Synpcc7942_2581
Q31K07	Synpcc7942_2582	Synpcc7942_2582
Q31K06	Synpcc7942_2583	Synpcc7942_2583
Q31K05	Synpcc7942_2584	Synpcc7942_2584
Q31K01	Synpcc7942_2588	Synpcc7942_2588
Q31K00	Synpcc7942_2589	Synpcc7942_2589
Q31JZ3	Synpcc7942_2596	Synpcc7942_2596
Q31JZ2	Synpcc7942_2597	Synpcc7942_2597
Q31JY4	Synpcc7942_2605	Synpcc7942_2605
Q31JY2	Synpcc7942_2607	Synpcc7942_2607
Q31JY1	Synpcc7942_2608	Synpcc7942_2608
Q31JY0	Synpcc7942_2609	Synpcc7942_2609
Q31JX9	Synpcc7942_2610	Synpcc7942_2610
Q31JX8	Synpcc7942_2611	Synpcc7942_2611
Q31JX7	Synpcc7942_2612	Synpcc7942_2612
Q31JU4	Synpcc7942_B2634	Synpcc7942_B2634
Q8KUW1	Synpcc7942_B2639	Synpcc7942_B2639
Q31JT6	Synpcc7942_B2642	Synpcc7942_B2642
Q31JV0	Synpcc7942_B2652	Synpcc7942_B2652
Q8KUU6	Synpcc7942_B2654	Synpcc7942_B2654
Q8KUT3	Synpcc7942_B2655	Synpcc7942_B2655
Q31JS8	Synpcc7942_B2660	Synpcc7942_B2660
Q54766	accA	Synpcc7942_1595
Q54761	accB	Synpcc7942_2564
Q54755	accC	Synpcc7942_1379
Q54776	accD	Synpcc7942_1956
Q31QV1	acpP	Synpcc7942_0536
Q31NI7	acsA	Synpcc7942_1352
Q31LY2	acsF	Synpcc7942_1907
Q31L26	adk	Synpcc7942_2213
Q31QL9	ahcY	Synpcc7942_0618
Q31PW3	alaS	Synpcc7942_0876
Q31P96	anmK	Synpcc7942_1093
O50209	apcF	Synpcc7942_2158
Q6V1L5	argB	Synpcc7942_1496
Q31NA6	argC	Synpcc7942_1433
Q935Y4	argF	Synpcc7942_2514
Q31SC8	argG	Synpcc7942_0009
Q8GIS1	argH	Synpcc7942_2475
Q31LZ3	argJ	Synpcc7942_1896
Q8KPU9	argS	Synpcc7942_1577
Q31RQ5	aroA	Synpcc7942_0232
Q31QW2	aroB	Synpcc7942_0525
Q31RS5	aroC	Synpcc7942_0212
Q31Q07	asnS	Synpcc7942_0830
Q31NM6	aspS	Synpcc7942_1313
Q31RF1	atpA	Synpcc7942_0336
Q31RF6	atpB	Synpcc7942_0331
P0A2Z8	atpC	Synpcc7942_2316
Q31KS4	atpD	Synpcc7942_2315
Q31RF5	atpE	Synpcc7942_0332
Q31RF3	atpF	Synpcc7942_0334
Q31RF0	atpG	Synpcc7942_0337
Q31RF4	atpG	Synpcc7942_0333
Q31RF2	atpH	Synpcc7942_0335
Q31LB7	carA	Synpcc7942_2122
Q31QC6	carB	Synpcc7942_0711
Q8VW88	cbbA	Synpcc7942_1443
Q31NB3	cbbL	Synpcc7942_1426
Q03511	ccmK	Synpcc7942_1421
Q03512	ccmL	Synpcc7942_1422
Q03513	ccmM	Synpcc7942_1423
P46205	ccmO	Synpcc7942_1425
Q31QX6	ccsA	Synpcc7942_0511
Q31RG5	ccsB	Synpcc7942_0322
Q79PF9	cheY	Synpcc7942_1221
Q8GJN0	chlB	Synpcc7942_1838
O07345	chlD	Synpcc7942_2274
P54208	chlN	Synpcc7942_1420
Q8VPV3	chpX	Synpcc7942_0308
Q8VPV7	chpY	Synpcc7942_2093
Q9KHI5	cikA	Synpcc7942_0644
P53533	clpB1	Synpcc7942_1089
O34209	clpB2	Synpcc7942_0637
P54415	clpP1	Synpcc7942_1554
O34125	clpP2	Synpcc7942_2525
Q9L4P3	clpP3	Synpcc7942_2537
Q9L4P4	clpR	Synpcc7942_2538
Q31QE7	clpS	Synpcc7942_0690
O34126	clpX	Synpcc7942_2526
Q55106	cmpB	Synpcc7942_1489
Q55107	cmpC	Synpcc7942_1490
Q55108	cmpD	Synpcc7942_1491
Q9F1R2	cmpR	Synpcc7942_1310
Q55235	coaD	Synpcc7942_2007
Q31RL4	coaE	Synpcc7942_0273
Q31M81	coaX	Synpcc7942_1808
P42451	cobA	Synpcc7942_0271
Q6BBK3	cp12	Synpcc7942_0361
P13530	cpcA1	Synpcc7942_1048
P06539	cpcB1	Synpcc7942_1047
Q44115	cpcE	Synpcc7942_1054
Q44116	cpcF	Synpcc7942_1055
Q31RX6	cpcS1	Synpcc7942_0161
Q31P22	cpcS3	Synpcc7942_1167
Q31LK8	cpcS4	Synpcc7942_2031
Q31Q65	cpcT1	Synpcc7942_0772
Q31Q37	cpcT2	Synpcc7942_0800
Q55276	crtL	Synpcc7942_2062
O05347	cynD	Synpcc7942_2105
Q59948	cynS	Synpcc7942_2104
P14788	cysA	Synpcc7942_1680
Q31PQ0	cysC	Synpcc7942_0939
Q55309	cysH	Synpcc7942_2506
Q31MM7	cysS	Synpcc7942_1662
Q31M42	dapA	Synpcc7942_1847
Q31LA3	dapB	Synpcc7942_2136
Q31LW2	dapF	Synpcc7942_1927
Q31PY6	dapL	Synpcc7942_0853
Q31KL4	ddl	Synpcc7942_2375
Q31KP9	der	Synpcc7942_2340
Q8KPV3	dhg2	Synpcc7942_1573
Q31P89	dnaA	Synpcc7942_1100
P50026	dnaJ	Synpcc7942_2579
Q31LG5	dnaJ	Synpcc7942_2074
P50020	dnaK1	Synpcc7942_2073
P50021	dnaK2	Synpcc7942_2468
P50022	dnaK3	Synpcc7942_2580
P52023	dnaN	Synpcc7942_0001
Q8GAA2	dpdX	Synpcc7942_0432
Q55024	dps	Synpcc7942_2171
Q31N26	dxr	Synpcc7942_1513
Q8GAA0	dxs	Synpcc7942_0430
Q54760	efp	Synpcc7942_2565
Q31QJ8	eno	Synpcc7942_0639
Q31RX7	era	Synpcc7942_0160
Q31N84	fabH	Synpcc7942_1455
Q59943	fbp	Synpcc7942_2335
Q55311	ffh	Synpcc7942_1771
Q31LC9	fmt	Synpcc7942_2110
Q31LV6	fni	Synpcc7942_1933
Q31Q60	folD	Synpcc7942_0777
Q54769	folE	Synpcc7942_1597
Q31QY0	frr	Synpcc7942_0507
Q31RJ0	ftsH1	Synpcc7942_0297
Q31PP7	ftsH2	Synpcc7942_0942
Q31PJ1	ftsH3	Synpcc7942_0998
Q31NM5	ftsH4	Synpcc7942_1314
O85785	ftsZ	Synpcc7942_2378
Q55244	fur	Synpcc7942_0987
Q31PV4	fusA	Synpcc7942_0885
Q9R6W2	gap2	Synpcc7942_1742
Q31LC2	gatA	Synpcc7942_2117
Q31S19	gatB	Synpcc7942_0118
Q31KR7	gatC	Synpcc7942_2322
Q31LJ3	gcvH	Synpcc7942_2046
Q31LJ2	gcvP	Synpcc7942_2047
Q31KT1	gcvT	Synpcc7942_2308
Q935Y7	glgA	Synpcc7942_2518
P16954	glgB	Synpcc7942_1085
Q31QN4	glgC	Synpcc7942_0603
Q31LA7	glmM	Synpcc7942_2132
Q31RJ9	glmU	Synpcc7942_0288
P0A3F4	glnB	Synpcc7942_0321
Q31ND6	gloB	Synpcc7942_1403
Q8L1E5	gltX	Synpcc7942_2393
Q31RK5	glyA	Synpcc7942_0282
Q31KD2	glyQ	Synpcc7942_2457
Q31SB9	glyS	Synpcc7942_0018
Q8KPQ7	gmk	Synpcc7942_1191
P21577	gnd	Synpcc7942_0039
Q31R18	gpmI	Synpcc7942_0469
Q935Z2	gpsA	Synpcc7942_2522
P22879	groL	Synpcc7942_2313
Q31QF2	groL1	Synpcc7942_0685
P22880	groS	Synpcc7942_2314
Q59984	grpE	Synpcc7942_2072
O32463	gshB	Synpcc7942_2324
Q31RN3	gyrA	Synpcc7942_0254
Q31QY3	hemA	Synpcc7942_0504
P43087	hemB	Synpcc7942_1792
Q31PM2	hemC	Synpcc7942_0967
P42452	hemD	Synpcc7942_0272
P16891	hemE	Synpcc7942_1086
Q31QG3	hemF	Synpcc7942_0674
Q31S00	hemH	Synpcc7942_0137
Q31QJ2	hemL	Synpcc7942_0645
Q31KE1	hflX	Synpcc7942_2448
Q8GJM0	hisA	Synpcc7942_1829
Q31PF9	hisC	Synpcc7942_1030
Q31N20	hisD	Synpcc7942_1519
Q31LF2	hisF	Synpcc7942_2087
Q31Q54	hisG	Synpcc7942_0783
Q31N58	hisH	Synpcc7942_1481
Q31KX6	hisS	Synpcc7942_2263
Q55267	hisZ	Synpcc7942_0813
Q31QS8	hslO	Synpcc7942_0559
P27134	icfA	Synpcc7942_1447
Q31L64	idiA	Synpcc7942_2175
Q31KF2	ileS	Synpcc7942_2437
Q31MY7	ilvC	Synpcc7942_1552
Q31QL1	ilvD	Synpcc7942_0626
Q31LL9	infB	Synpcc7942_2020
Q31S72	infC	Synpcc7942_0065
P10340	isiB	Synpcc7942_1541
Q31QF6	ispD	Synpcc7942_0681
Q31RH7	ispE	Synpcc7942_0310
Q31P19	ispF	Synpcc7942_1170
Q31QC4	ispG	Synpcc7942_0713
Q31S64	ispH	Synpcc7942_0073
Q79PF6	kaiA	Synpcc7942_1218
Q79PF5	kaiB	Synpcc7942_1217
Q79PF4	kaiC	Synpcc7942_1216
Q31MN3	katG	Synpcc7942_1656
Q31MM0	kdpB	Synpcc7942_1669
Q31KV0	kdsA	Synpcc7942_2289
Q31KU9	kdsB	Synpcc7942_2290
Q31LZ8	labA	Synpcc7942_1891
Q31R08	lepA	Synpcc7942_0479
Q31NC9	leuA	Synpcc7942_1410
Q31N34	leuB	Synpcc7942_1505
Q31LZ1	leuC	Synpcc7942_1898
Q31LW9	leuS	Synpcc7942_1920
Q31RL0	ligA	Synpcc7942_0277
Q31QU5	lipA1	Synpcc7942_0542
Q31PR0	lpxC	Synpcc7942_0929
Q31N90	lpxD	Synpcc7942_1449
Q31RM5	lysA	Synpcc7942_0262
Q31KH4	lysS	Synpcc7942_2415
Q31RB6	metA	Synpcc7942_0371
Q31KC6	metK	Synpcc7942_2463
Q31PU2	minE	Synpcc7942_0897
Q31N30	mnmA	Synpcc7942_1509
Q8KPU2	mnmE	Synpcc7942_1582
Q31KG6	mnmG	Synpcc7942_2423
Q56208	moaCB	Synpcc7942_1285
Q56207	moeA	Synpcc7942_1286
Q31LP8	mscL	Synpcc7942_1991
Q31KF3	msrA2	Synpcc7942_2436
Q31L49	msrB	Synpcc7942_2190
Q31LP7	mtnA	Synpcc7942_1992
Q31LP6	mtnB	Synpcc7942_1993
Q31LP5	mtnC	Synpcc7942_1994
Q31QM9	mtnD	Synpcc7942_0608
Q31MM2	murD	Synpcc7942_1667
Q31N55	murE	Synpcc7942_1484
Q31KS7	murG	Synpcc7942_2312
O33701	murQ	Synpcc7942_2577
O05161	mut3G	Synpcc7942_2345
Q31KZ2	mutS	Synpcc7942_2247
Q31QM6	mutS2	Synpcc7942_0611
Q9L790	nadA	Synpcc7942_1448
Q31KC5	nanE	Synpcc7942_2464
P39458	narB	Synpcc7942_1235
Q9Z3G5	nblB	Synpcc7942_1823
