"ID_REF"	"GSM356401"	"GSM356402"	"GSM356403"	"GSM356404"	"GSM356405"	"GSM356406"	"GSM356407"	"GSM356408"	"GSM356409"	"GSM356410"	"GSM356411"	"GSM356412"	"GSM356413"	"GSM356414"	"GSM356415"	"GSM356416"	"GSM356417"	"GSM356418"	"GSM356419"	"GSM356420"	"GSM356421"	"GSM356422"	"GSM356423"	"GSM356424"	"GSM356425"	"GSM356426"	"GSM356427"	"GSM356428"	"GSM356429"	"GSM356430"	"GSM356431"	"GSM356432"	"GSM356433"	"GSM356434"	"GSM356435"	"GSM356436"	"GSM356437"	"GSM356438"	"GSM356439"	"GSM356440"	"GSM356441"	"GSM356442"	"GSM356443"	"GSM356444"	"GSM356445"	"GSM356446"	"GSM356447"	"GSM356448"	"GSM356449"	"GSM356450"	"GSM356451"	"GSM356452"	"GSM356453"	"GSM356454"	"GSM356455"	"GSM356456"	"GSM356457"	"GSM356458"	"GSM356459"	"GSM356460"	"GSM356461"	"GSM356462"	"GSM356463"	"GSM356464"	"GSM356465"	"GSM356466"	"GSM356467"	"GSM356468"	"GSM356469"	"GSM356470"	"GSM356471"	"GSM356472"	"GSM356473"	"GSM356474"	"GSM356475"	"GSM356476"	"GSM356477"	"GSM356478"	"GSM356479"	"GSM356480"	"GSM356481"	"GSM356482"	"GSM356483"	"GSM356484"	"GSM356485"	"GSM356486"	"GSM356487"	"GSM356488"	"GSM356489"	"GSM356490"	"GSM356491"	"GSM356492"	"GSM356493"	"GSM356494"	"GSM356495"	"GSM356496"	"GSM356497"	"GSM356498"	"GSM356499"	"GSM356500"	"GSM356501"	"GSM356502"	"GSM356503"	"GSM356504"
"syc1472-h_at"	89.46338681	354.0149275	523.6108126	212.9145838	83.23287742	108.6425072	135.3692648	332.6280866	422.0520798	210.010596	65.78489531	109.2992335	175.3969309	436.6505467	483.4021589	188.7998019	85.89849475	106.4803436	186.6074173	481.5766684	563.3202011	265.2297067	152.1954244	177.350238	224.0125363	167.1573289	246.4702542	204.4143472	182.5819495	231.0815955	227.1408414	163.1074482	157.4555705	182.7490989	210.0653217	223.7381514	205.3198083	211.2989473	201.9639839	220.1120632	195.51301	179.7977316	179.4211901	170.5025931	193.6298158	176.4018211	32.23807198	109.0075871	42.20008153	94.62582412	61.67878101	75.01148858	41.80345929	36.46737182	87.05183689	120.5830679	299.248395	119.3926837	102.6075707	103.7591532	86.88007069	104.4775012	94.92424406	99.64674974	126.6255491	104.2563686	123.3694357	118.3494746	321.1259642	134.1628923	255.3894131	5.286349397	2.466963052	9.045531191	3.876656225	11.7474431	9.867852208	7.87078688	12.0998664	2.23201419	1.644642035	2.584437483	17.0337925	25.84437483	81.17483185	1.527167604	1.527167604	0.587372155	6.108670414	5.403823828	436.6524602	23.72983507	1.997065328	10.45522436	6.578568139	15.97652262	11.04259652	3.171809638	4.698977242	2.819386345	5.051400535	1.879590897	13.627034	1462.3
"syc1473-h_at"	268.0112193	1490.775026	1923.454143	758.5466296	301.0939847	304.0194789	424.0390636	1692.354958	1751.166121	814.1015336	269.725684	317.5565743	417.2126364	1852.377184	1761.204367	541.188942	334.031036	330.9115166	556.8777415	1686.287467	1986.638131	830.2165465	339.0247535	525.1791864	928.4900918	838.2077988	914.0605049	934.9084243	831.629111	810.3678186	960.5663959	840.4472871	765.4993665	826.3139467	858.0907114	1024.24309	951.0669658	857.0114245	860.1902159	892.8351544	832.3648737	742.7873629	821.1061857	784.7880377	783.3853768	778.484508	328.692152	333.6944271	299.6655294	413.4313109	297.0583438	320.2504541	293.1685628	306.2918886	448.1187464	454.4371849	1398.938362	388.8101139	306.6883474	310.1559009	275.1990665	330.797798	276.3605242	323.8720481	302.6101433	370.4141874	458.5177384	413.1946181	1368.920025	391.5822503	961.4681495	98.54428497	30.34039646	18.76640326	30.91909612	19.26243154	15.04619116	12.15269286	15.45954806	11.49132182	10.00323698	10.82995078	14.21947736	20.75051638	481.4781172	53.73639701	24.96675676	14.63283426	10.08590836	11.1606363	1623.913918	20.75051638	13.39276356	8.515152141	11.73933596	11.5739932	11.82200734	8.184466621	13.06207804	10.41659388	3.63754072	0.99205656	10.25125112	2077.9
"syc1474-h_at"	177.6776178	194.2281846	169.7743689	171.7670347	193.3794212	201.8907763	187.4674874	200.1718743	155.0549038	151.436153	177.4299751	181.5172408	164.3136022	160.4746265	143.088631	149.4922888	139.5793027	143.8960697	190.5633465	170.613206	162.5015928	178.0584786	189.8662633	180.3745617	147.8324699	167.1125048	144.2751709	170.8095734	154.8265898	125.5050976	153.6299965	154.5967581	152.6505341	135.8054966	161.4076037	175.6788621	159.7928339	171.5756728	163.2576991	183.3573629	163.2065771	166.2212843	170.4096281	164.8781333	169.50197	169.6157379	195.7956739	166.2182952	147.4093991	127.5987433	144.1117091	159.3182362	133.7635079	205.9822144	160.450509	168.5647532	150.1344507	111.4941205	147.3608408	132.2730652	132.0603622	135.2458901	142.5520052	144.8564815	143.7936186	154.2725267	126.7460135	143.2075843	142.5106148	149.4304928	159.4588985	71.96817541	47.50840337	34.52590899	41.20530827	43.36905734	31.51547551	25.58868459	28.69319412	17.02776438	14.86401531	16.27515601	30.01025877	45.06242617	40.26454781	29.2576504	25.11830436	13.92325485	12.88841834	10.25428905	174.793294	37.16003828	23.23678343	18.06260089	18.43890507	29.16357435	22.20194692	19.00336135	30.2924869	22.01379483	8.184616027	15.33439554	9.407604629	1826
"syc1475-h_at"	220.25629	204.0828868	232.1479838	159.6968185	180.1164566	180.1941054	175.3868448	193.8515988	242.2317322	159.04846	155.5366445	182.2272665	207.64862	224.7537799	271.7256048	205.0199373	186.3601911	167.8331592	195.2328715	267.8460789	227.1962856	205.7803235	195.4322403	187.5856683	161.9899607	193.8192285	178.8822977	204.0691679	195.1162261	194.7878694	184.7225546	181.3881159	174.5588121	154.2713304	185.7191034	224.1716531	174.671211	211.7744837	248.2590931	234.2793596	227.8789212	220.4380167	226.7420015	207.3687314	238.2478412	235.855058	267.4708236	170.8802534	186.5997712	216.2799686	188.1016116	191.441961	224.3457611	254.4652457	254.9714756	217.9779852	303.8581212	180.2366764	207.7769247	191.4602146	175.337887	193.906789	212.5186386	209.8520673	224.6792175	207.8511398	222.003691	165.1818329	271.1042583	201.7198655	143.8583628	36.9529614	33.16084527	34.04836181	31.14376223	34.69382839	28.56189593	15.81393108	18.96058063	16.6207643	11.69908167	15.8946144	25.81866299	27.27096278	81.73220502	26.78686285	15.32983115	8.552432115	11.69908167	8.149015505	195.5763721	31.70854548	15.41051447	8.875165402	15.41051447	15.24914783	21.62313025	14.92641454	20.57424707	15.32983115	9.924048586	12.42523156	12.99001482	2129.1
"syc1476-m_at"	79.19100016	108.1232021	143.9935297	92.71976956	72.52061224	83.53213523	86.27727557	134.2094948	178.1289972	84.57733929	85.80049702	90.4448685	171.4873527	231.122208	179.4672372	94.87854575	104.8284214	93.98138252	143.243867	218.6469136	212.3582081	134.5292569	101.5215163	142.2603797	124.413345	111.6812387	127.1688301	135.4631109	132.0654228	132.7475849	123.2702472	133.4249266	129.3080834	114.747664	121.024569	99.14523976	103.8452968	83.46955439	115.4773788	85.30557927	77.9612859	100.9051677	100.7714	109.0361527	81.76362741	98.4506604	38.29404032	46.56063722	46.37824901	48.28362671	62.63991566	69.47974158	66.73762718	17.23880967	42.92916481	102.7553793	70.43247466	81.79679574	102.2022734	78.54742166	81.42183849	79.43707859	65.63517246	65.07185099	78.18379598	115.080053	81.5431833	89.20151914	117.9296712	86.28046229	161.7248276	318.0461879	198.1271334	135.9398609	100.5803295	174.6173109	158.0277184	68.82310951	68.25432348	89.39420422	33.36878037	43.13294053	46.92484739	79.53524639	43.51213122	111.95605	74.32137445	29.86126652	52.23351699	32.89479201	185.5190431	16.68439018	12.03930428	11.37572058	5.403467275	11.66011359	12.987281	12.41849497	12.51329264	12.987281	4.360692889	4.739883575	6.730634676	1812.1
"syc1477-m_at"	126.6810893	260.052256	509.8956915	177.4099839	139.8593224	104.519802	123.8123214	273.502781	388.4661994	239.0094283	99.63423544	132.4422208	227.6029828	379.4747885	420.5418339	188.881904	161.7029019	139.226054	195.567954	324.6602552	269.1441678	212.0364142	109.8310828	211.5906317	258.6612364	246.0541095	261.7721023	239.4010948	251.5866976	226.6478726	253.1683396	222.6221571	217.5378309	196.4829342	237.7190179	267.3707251	249.9192887	244.6264839	251.9448459	254.4916863	240.9026205	228.0164893	202.1501188	203.9875811	177.6099148	207.7638701	218.9400631	215.8397712	163.2601103	258.5902442	154.6225419	205.3001574	159.9603334	245.0467484	166.3486244	173.8413243	386.4881426	121.2783669	134.9128748	128.676834	107.140878	139.9324546	115.6430707	142.297905	120.3393761	123.1017017	156.2377147	119.8936666	230.4444101	126.0294813	500.2934151	1054.911399	482.8850589	296.1170153	321.2235392	469.3257864	306.0021623	146.7025804	250.102968	130.1690159	69.37098762	62.54761179	118.3593269	165.6855619	102.613075	352.716043	146.9650179	71.3830087	87.2167398	96.48953259	526.887085	28.1682951	11.63473058	11.37229305	10.58498046	18.8955023	18.10818971	24.14425294	24.84408636	12.24708483	15.22137686	6.298500768	8.83539691	1963.7
"syc1478-m_at"	118.5799348	181.9340797	280.465874	183.3073914	111.7912096	115.712427	111.3673093	195.6723878	315.9398659	187.8696157	130.1636479	111.2389387	228.4489588	314.6364858	309.5521008	135.2137339	162.0415372	113.0450481	176.0344892	289.5270592	288.1945268	210.1677593	142.8662022	203.5405787	199.8995867	186.3052774	201.1748111	164.6571399	180.2679413	199.1930364	186.4513875	159.76549	182.0624012	177.1111949	208.8329402	193.9129507	168.1024924	143.4121712	160.7892585	132.8642983	116.6675621	149.342725	140.9887973	175.2664259	147.9658365	133.5204311	133.3182261	193.8888513	139.842491	135.5838674	126.8969693	204.1534236	131.2070815	151.5999597	91.63321307	156.9060733	253.9171336	134.5686415	142.773365	119.7826481	120.8405991	143.7796896	110.0409367	150.57092	113.3451473	135.9560505	167.047188	152.0241453	213.9888006	124.5709478	327.9784335	476.8106267	221.781481	161.74011	197.823605	281.7250647	193.0320298	101.8943136	163.2069188	87.51958796	47.81796482	37.64809091	66.88647839	109.521719	74.61167107	127.9057218	57.49890248	29.62953648	42.14630437	33.54102645	378.4366541	35.39898418	18.38400283	15.15702361	20.33974782	24.64238678	24.15345053	21.21983306	25.03353577	22.78442904	13.69021488	6.160596694	14.57030012	1756.7
"syc1480-h_at"	151.7040848	118.323651	144.187664	112.9036287	143.0275664	134.9640983	134.5995888	127.8555596	154.5659357	154.304747	188.9661944	185.1092148	221.18402	161.2713915	168.1109644	187.676365	201.6271203	209.5503842	247.132058	149.0745214	170.5861341	170.5189472	239.6010275	315.5370903	163.8328246	166.5366041	175.1735206	145.5364655	157.0749105	147.2514295	157.6456874	153.2598198	154.4780329	154.4638424	129.3374864	138.5707361	171.4543337	170.1337265	174.5842828	155.1212523	139.107177	168.0868299	156.5106968	148.6216665	169.4731315	170.6791171	188.6157316	224.217301	228.3370435	174.6490277	200.0966231	228.7456517	188.5067612	172.7139809	186.5087775	223.9702038	154.8314821	178.534326	172.4827934	171.8398266	178.3567398	177.4393366	160.6999391	148.4189068	184.7449359	188.5164507	151.275845	169.1880493	121.0058117	216.4379256	115.366595	95.02739761	85.24679996	55.90500701	60.23959006	72.79876659	54.68243231	20.45034054	33.34294653	30.34208134	20.11691107	39.56696322	24.0069215	56.23843648	43.01240102	38.23324535	26.34092776	17.56061851	24.11806466	21.11719947	197.2791003	11.55888813	5.779444065	6.557446151	7.668877702	8.446879787	18.22747744	14.00403754	5.779444065	19.89462476	1.444861016	9.336025028	1.889433637	1545.6
"syc1481-h_at"	158.9629037	140.9664784	190.9380245	181.8170271	171.1747821	199.2414349	184.1889456	148.7386485	185.086371	159.4109467	159.2503029	216.1553366	203.4959356	178.3733576	197.6010021	204.8136835	209.479253	210.457706	231.5650584	187.3606465	263.9658385	180.2520222	237.1658724	237.6926662	160.893394	177.5521484	203.1530055	189.7743206	195.1205515	178.1247501	180.8869313	167.9754902	182.4741343	184.5742459	162.9475813	189.0931055	186.8537453	206.3607486	171.1217306	191.8806039	192.829213	183.7524157	176.2782354	181.4094526	183.1594596	185.0005489	259.6597049	266.1472481	262.0092599	262.1510785	251.7095943	200.3150197	261.1606504	218.2059979	232.3723233	203.0623142	191.5129867	221.9142789	241.2514457	228.9821581	222.5577644	237.7572633	248.950125	226.9693567	242.7654291	204.5323439	200.2531648	206.6339611	169.7751737	240.6779938	107.0179514	72.9903989	56.45283521	47.53467259	43.20546744	46.66883156	33.94096841	28.57275402	29.09225864	27.9666653	10.04375596	11.42910161	36.5384915	39.91527152	48.66026593	36.79824381	34.89339354	21.81919398	19.5680073	11.51568571	164.9427164	15.84489086	9.26449903	5.368214391	3.290195917	8.485242102	12.90103136	12.38152674	8.398657999	16.53756369	5.88771901	5.88771901	8.485242102	1984
"syc1482-h_at"	32.96226987	31.11915998	32.29135777	40.23792854	32.0187201	31.53299095	41.61039876	33.21469625	48.95973907	46.67371126	38.53772614	30.86593536	42.60642266	27.78638368	33.0411719	18.80605359	58.68976239	32.62575478	34.0786048	39.73088668	55.06974059	56.41867827	99.85912632	34.12454442	37.99914232	11.36814786	15.33346888	21.70950695	28.3537478	28.86096648	7.013467084	43.81492079	35.06541382	27.90633029	36.77124259	20.50457532	41.15680065	32.00836634	40.47600329	35.98286809	23.24365593	34.67290505	31.59071269	42.50459886	12.26534551	3.004071186	47.13097216	18.41859161	61.37313614	31.43648329	37.43142141	52.43361093	24.0104667	49.8770507	47.85074705	40.08749273	34.55801117	31.76057023	24.48584256	18.7567303	31.55414051	52.67554034	30.61493402	31.05631868	41.5161952	27.77292593	32.50936326	40.77292939	29.20362249	37.05814825	31.07462154	1.176326367	1.960543946	0.686190381	13.03761724	1.07829917	2.548707129	12.93959004	0.980271973	3.136870313	5.293468653	0.980271973	25.78115289	21.27190181	8.136257375	1.176326367	1.274353565	5.979659034	0.490135986	0.392108789	34.89768223	11.46918208	4.215169483	4.70530547	0.588163184	2.450679932	0.980271973	3.23489751	1.666462354	0.490135986	0.490135986	7.450066994	0.980271973	1752.4
