Entry	Entry.Name	Gene.Names	Cross-reference	Gene.Names2	Gene.Names3
A0A1Y5IAJ1	A0A1Y5IAJ1_OSTTA	BE221DRAFT_77580	KZ155791;		
A0A1Y5IF76	A0A1Y5IF76_OSTTA	BE221DRAFT_195435	KZ155775;		
A0A090M333	A0A090M333_OSTTA	OT_ostta07g01020	CAID01000007;		
A0A090M302	A0A090M302_OSTTA	OT_ostta07g00540	CAID01000007;		
A0A090M397	A0A090M397_OSTTA	OT_ostta07g01820	CAID01000007;		
A0A1Y5HZ23	A0A1Y5HZ23_OSTTA	BE221DRAFT_62374	KZ155838;		
A0A1Y5I9A1	A0A1Y5I9A1_OSTTA	BE221DRAFT_198866	KZ155784;		
A0A096PAE7	A0A096PAE7_OSTTA	OT_ostta02g04905	CAID01000002;		
A0A090LYN2	A0A090LYN2_OSTTA	OT_ostta01g06190	CAID01000001;		
Q01CR3	Q01CR3_OSTTA	OT_ostta03g02370	CAID01000003;		
Q01AN6	Q01AN6_OSTTA	OT_ostta04g03455	CAID01000004;		
A0A454Y3L4	A0A454Y3L4_OSTTA	BE221DRAFT_195225	KZ155787;		
A0A1Y5IBM8	A0A1Y5IBM8_OSTTA	BE221DRAFT_72356	KZ155780;		
A0A454Y5T2	A0A454Y5T2_OSTTA	BE221DRAFT_199364	KZ155790;		
A0A096PAP5	A0A096PAP5_OSTTA	OT_ostta15g00300	CAID01000015;		
A0A1Y5IBK2	A0A1Y5IBK2_OSTTA	BE221DRAFT_148665	KZ155789;		
A0A1Y5ICU9	A0A1Y5ICU9_OSTTA	BE221DRAFT_72252	KZ155778;		
A0A090N381	A0A090N381_OSTTA	OT_ostta04g03660	CAID01000004;		
A0A096PB25	A0A096PB25_OSTTA	OT_ostta14g02620	CAID01000014;		
A0A454XXZ3	A0A454XXZ3_OSTTA	BE221DRAFT_190968	KZ155778;		
A0A096PBT8	A0A096PBT8_OSTTA	OT_ostta14g02150	CAID01000014;		
Q00W73	Q00W73_OSTTA	OT_ostta14g01190	CAID01000014;		
A0A096P8Y2	A0A096P8Y2_OSTTA	OT_ostta16g02510	CAID01000016;		
A0A096PAE8	A0A096PAE8_OSTTA	OT_ostta15g00810	CAID01000015;		
A0A096P9F0	A0A096P9F0_OSTTA	OT_ostta20g00480	CAID01000020;		
A0A096PA99	A0A096PA99_OSTTA	OT_ostta02g04760	CAID01000002;		
A0A1Y5ILG6	A0A1Y5ILG6_OSTTA	BE221DRAFT_70062	KZ155776;		
Q00ZH5	Q00ZH5_OSTTA	OT_ostta10g03390	CAID01000010;		
A0A096PAI7	A0A096PAI7_OSTTA	OT_ostta15g00180	CAID01000015;		
Q00Y22	Q00Y22_OSTTA	OT_ostta12g01310	CAID01000012;		
A0A1Y5I4M8	A0A1Y5I4M8_OSTTA	BE221DRAFT_64528	KZ155839;		
Q010F1	Q010F1_OSTTA	OT_ostta10g01230	CAID01000010;		
A0A454XPW2	A0A454XPW2_OSTTA	BE221DRAFT_66429	KZ155771;		
A0A090MBB7	A0A090MBB7_OSTTA	OT_ostta13g00560	CAID01000013;		
A0A090N493	A0A090N493_OSTTA	OT_ostta10g03090	CAID01000010;		
Q01D51	Q01D51_OSTTA	OT_ostta03g01010	CAID01000003;		
Q011G5	Q011G5_OSTTA	OT_ostta09g03070	CAID01000009;		
A0A090M6P0	A0A090M6P0_OSTTA	OT_ostta05g00050	CAID01000005;		
A0A1Y5IC66	A0A1Y5IC66_OSTTA	BE221DRAFT_58268	KZ155778;		
A0A090N4W4	A0A090N4W4_OSTTA	OT_ostta08g02620	CAID01000008;		
A0A1Y5I972	A0A1Y5I972_OSTTA	BE221DRAFT_146296	KZ155785;		
A0A090N4Q8	A0A090N4Q8_OSTTA	OT_ostta02g03660	CAID01000002;		
Q00ZE2	Q00ZE2_OSTTA	OT_ostta11g00140	CAID01000011;		
A0A1Y5ID67	A0A1Y5ID67_OSTTA	BE221DRAFT_206135	KZ155785;		
A0A454Y371	A0A454Y371_OSTTA	BE221DRAFT_200273	KZ155832;		
A0A1Y5IGH8	A0A1Y5IGH8_OSTTA	BE221DRAFT_190004	KZ155774;		
A0A090M5R8	A0A090M5R8_OSTTA	OT_ostta11g01140	CAID01000011;		
A0A090MCU2	A0A090MCU2_OSTTA	OT_ostta08g02800	CAID01000008;		
A0A1Y5I5H3	A0A1Y5I5H3_OSTTA	BE221DRAFT_148212	KZ155803;		
Q01H75	Q01H75_OSTTA	OT_ostta01g00070	CAID01000001;		
Q00T95	Q00T95_OSTTA	OT_ostta17g01800	CAID01000017;		
Q00SW9	Q00SW9_OSTTA	OT_ostta18g00400	CAID01000018;		
A0A1Y5IHX8	A0A1Y5IHX8_OSTTA	BE221DRAFT_73924	KZ155782;		
A0A090M569	A0A090M569_OSTTA	OT_ostta03g04730	CAID01000003;		
A0A090M3Q6	A0A090M3Q6_OSTTA	OT_ostta03g05100	CAID01000003;		
A0A1Y5IGH0	A0A1Y5IGH0_OSTTA	BE221DRAFT_197616	KZ155774;		
Q012D2	Q012D2_OSTTA	OT_ostta09g00830	CAID01000009;		
A0A1Y5I9C3	A0A1Y5I9C3_OSTTA	BE221DRAFT_192945	KZ155790;		
A0A1Y5IKV1	A0A1Y5IKV1_OSTTA	BE221DRAFT_67775	KZ155772;		
Q01EJ0	Q01EJ0_OSTTA	OT_ostta02g01730	CAID01000002;		
A0A1Y5IFH3	A0A1Y5IFH3_OSTTA	BE221DRAFT_189570	KZ155774;		
A0A090M988	A0A090M988_OSTTA	OT_ostta07g02380	CAID01000007;		
A0A096P8V0	A0A096P8V0_OSTTA	OT_ostta16g02550	CAID01000016;		
A0A1Y5ICF5	A0A1Y5ICF5_OSTTA	BE221DRAFT_148195	KZ155809;		
A0A090M686	A0A090M686_OSTTA	OT_ostta06g00100	CAID01000006;		
A0A096P9U1	A0A096P9U1_OSTTA	OT_ostta18g01280	CAID01000018;		
A0A096PA14	A0A096PA14_OSTTA	OT_ostta15g01730	CAID01000015;		
A0A090LYP6	A0A090LYP6_OSTTA	OT_ostta03g02850	CAID01000003;		
A0A090M315	A0A090M315_OSTTA	OT_ostta01g06410	CAID01000001;		
A0A1Y5I6A9	A0A1Y5I6A9_OSTTA	BE221DRAFT_50655	KZ155838;		
A0A454XX28	A0A454XX28_OSTTA	BE221DRAFT_3268	KZ155839;		
A0A1Y5I271	A0A1Y5I271_OSTTA	BE221DRAFT_63240	KZ155839;		
A0A1Y5IDH4	A0A1Y5IDH4_OSTTA	BE221DRAFT_191166	KZ155778;		
A0A1Y5I440	A0A1Y5I440_OSTTA	BE221DRAFT_78218	KZ155825;		
A0A454XWC4	A0A454XWC4_OSTTA	BE221DRAFT_191016	KZ155778;		
A0A090N2Y8	A0A090N2Y8_OSTTA	OT_ostta03g03470	CAID01000003;		
A0A454Y4U4	A0A454Y4U4_OSTTA	BE221DRAFT_146908	KZ155825;		
A0A1Y5HXW7	A0A1Y5HXW7_OSTTA	BE221DRAFT_48438	KZ155839;		
A0A090M5T9	A0A090M5T9_OSTTA	OT_ostta11g00700	CAID01000011;		
A0A090M4Y9	A0A090M4Y9_OSTTA	OT_ostta04g04910	CAID01000004;		
A0A454XT79	A0A454XT79_OSTTA	BE221DRAFT_207079	KZ155826;		
A0A090M7F3	A0A090M7F3_OSTTA	OT_ostta05g03010	CAID01000005;		
A0A090M7K9	A0A090M7K9_OSTTA	OT_ostta02g02780	CAID01000002;		
A0A096P9F4	A0A096P9F4_OSTTA	OT_ostta02g04610	CAID01000002;		
A0A096P9V7	A0A096P9V7_OSTTA	OT_ostta20g00140	CAID01000020;		
A0A090M6N2	A0A090M6N2_OSTTA	OT_ostta06g02140	CAID01000006;		
A0A096P8H4	A0A096P8H4_OSTTA	OT_ostta17g01000	CAID01000017;		
A0A096P9T1	A0A096P9T1_OSTTA	OT_ostta18g01640	CAID01000018;		
A0A090MBT3	A0A090MBT3_OSTTA	OT_ostta11g00740	CAID01000011;		
Q00UD2	Q00UD2_OSTTA	OT_ostta16g01150	CAID01000016;		
A0A096P7H9	A0A096P7H9_OSTTA	OT_ostta03g00220	CAID01000003;		
A0A090N415	A0A090N415_OSTTA	OT_ostta09g02480	CAID01000009;		
A0A090M725	A0A090M725_OSTTA	OT_ostta05g01020	CAID01000005;		
A0A1Y5I6I6	A0A1Y5I6I6_OSTTA	BE221DRAFT_146761	KZ155791;		
A0A454XI66	A0A454XI66_OSTTA	BE221DRAFT_187351	KZ155838;		
A0A1Y5IJS8	A0A1Y5IJS8_OSTTA	BE221DRAFT_197416	KZ155774;		
A0A090M7J2	A0A090M7J2_OSTTA	OT_ostta02g02570	CAID01000002;		
A0A1Y5HYQ4	A0A1Y5HYQ4_OSTTA	BE221DRAFT_187063	KZ155838;		
A0A454XS75	A0A454XS75_OSTTA	BE221DRAFT_75948	KZ155785;		
Q00T60	Q00T60_OSTTA	OT_ostta17g02070	CAID01000017;		
A0A090M484	A0A090M484_OSTTA	OT_ostta09g01560	CAID01000009;		
A0A090M7K5	A0A090M7K5_OSTTA	OT_ostta07g01760	CAID01000007;		
A0A1Y5IKS4	A0A1Y5IKS4_OSTTA	BE221DRAFT_188522	KZ155771;		
A0A090M8S3	A0A090M8S3_OSTTA	OT_ostta09g02760	CAID01000009;		
A0A096PB41	A0A096PB41_OSTTA	OT_ostta14g02880	CAID01000014;		
A0A090M839	A0A090M839_OSTTA	OT_ostta06g01620	CAID01000006;		
A0A090M643	A0A090M643_OSTTA	OT_ostta04g02620	CAID01000004;		
A0A090MCQ2	A0A090MCQ2_OSTTA	OT_ostta08g02170	CAID01000008;		
A0A090N4M9	A0A090N4M9_OSTTA	OT_ostta02g01640	CAID01000002;		
A0A096P990	A0A096P990_OSTTA	OT_ostta17g01830	CAID01000017;		
A0A1Y5II68	A0A1Y5II68_OSTTA	BE221DRAFT_188504	KZ155771;		
A0A090M6M9	A0A090M6M9_OSTTA	OT_ostta12g01690	CAID01000012;		
A0A1Y5IGV6	A0A1Y5IGV6_OSTTA	BE221DRAFT_189159	KZ155772;		
A0A1Y5I1Z2	A0A1Y5I1Z2_OSTTA	BE221DRAFT_147469	KZ155831;		
A0A096PAU3	A0A096PAU3_OSTTA	OT_ostta14g02000	CAID01000014;		
A0A096PAQ0	A0A096PAQ0_OSTTA	OT_ostta14g00510	CAID01000014;		
Q013N2	Q013N2_OSTTA	OT_ostta08g01610	CAID01000008;		
A0A090M164	A0A090M164_OSTTA	OT_ostta05g02450	CAID01000005;		
A0A090LXX5	A0A090LXX5_OSTTA	OT_ostta01g02825	CAID01000001;		
A0A090M2V1	A0A090M2V1_OSTTA	OT_ostta07g00440	CAID01000007;		
A0A090MAE4	A0A090MAE4_OSTTA	OT_ostta09g02420	CAID01000009;		
A0A090M2J7	A0A090M2J7_OSTTA	OT_ostta06g02930	CAID01000006;		
A0A090N335	A0A090N335_OSTTA	OT_ostta04g00530	CAID01000004;		
A0A1Y5I477	A0A1Y5I477_OSTTA	BE221DRAFT_187624	KZ155838;		
A0A454XPE7	A0A454XPE7_OSTTA	BE221DRAFT_66717	KZ155771;		
A0A1Y5I2S2	A0A1Y5I2S2_OSTTA	BE221DRAFT_79170	KZ155826;		
Q011G1	Q011G1_OSTTA	OT_ostta09g03110	CAID01000009;		
Q012F1	Q012F1_OSTTA	OT_ostta09g00680	CAID01000009;		
A0A1Y5IE90	A0A1Y5IE90_OSTTA	BE221DRAFT_69890	KZ155776;		
S5M4C7	S5M4C7_OSTTA	OtMtg00320	KC967298;		
A0A1Y5IDZ7	A0A1Y5IDZ7_OSTTA	BE221DRAFT_144409	KZ155776;		
Q015V8	Q015V8_OSTTA	OT_ostta07g00500	CAID01000007;		
A0A090M401	A0A090M401_OSTTA	OT_ostta01g03800	CAID01000001;		
A0A090N4V9	A0A090N4V9_OSTTA	OT_ostta08g02250	CAID01000008;		
A0A1Y5IF95	A0A1Y5IF95_OSTTA	BE221DRAFT_68114	KZ155774;		
Q01C10	Q01C10_OSTTA	OT_ostta03g05120	CAID01000003;		
A0A090MA61	A0A090MA61_OSTTA	OT_ostta09g01180	CAID01000009;		
Q00SY7	Q00SY7_OSTTA	OT_ostta18g00250	CAID01000018;		
Q00T36	Q00T36_OSTTA	OT_ostta17g02250	CAID01000017;		
Q00W83	Q00W83_OSTTA	OT_ostta14g01110	CAID01000014;		
A0A090M8Y9	A0A090M8Y9_OSTTA	OT_ostta08g03650	CAID01000008;		
A0A090M623	A0A090M623_OSTTA	OT_ostta05g04270	CAID01000005;		
A0A096P8E4	A0A096P8E4_OSTTA	OT_ostta17g00980	CAID01000017;		
A0A096PAB0	A0A096PAB0_OSTTA	OT_ostta15g02650	CAID01000015;		
A0A1Y5IBB2	A0A1Y5IBB2_OSTTA	BE221DRAFT_166984	KZ155780;		
A0A1Y5I7T2	A0A1Y5I7T2_OSTTA	BE221DRAFT_81363	KZ155835;		
Q01CB0	Q01CB0_OSTTA	OT_ostta03g03990	CAID01000003;		
A0A090MAM2	A0A090MAM2_OSTTA	OT_ostta12g00330	CAID01000012;		
A0A096PAK9	A0A096PAK9_OSTTA	OT_ostta15g00030	CAID01000015;		
A0A1Y5HZH2	A0A1Y5HZH2_OSTTA	BE221DRAFT_201876	KZ155839;		
A0A1Y5IJG9	A0A1Y5IJG9_OSTTA	BE221DRAFT_65760	KZ155771;		
A0A090M575	A0A090M575_OSTTA	OT_ostta03g04780	CAID01000003;		
A0A454Y0S7	A0A454Y0S7_OSTTA	BE221DRAFT_62513	KZ155838;		
Q012B7	Q012B7_OSTTA	OT_ostta09g00990	CAID01000009;		
A0A090M4S7	A0A090M4S7_OSTTA	OT_ostta04g04000	CAID01000004;		
Q00YP5	Q00YP5_OSTTA	OT_ostta11g02410	CAID01000011;		
A0A1Y5IEF3	A0A1Y5IEF3_OSTTA	BE221DRAFT_190308	KZ155776;		
A0A1Y5ICW7	A0A1Y5ICW7_OSTTA	BE221DRAFT_71507	KZ155778;		
A0A1Y5I4S4	A0A1Y5I4S4_OSTTA	BE221DRAFT_195118	KZ155835;		
A0A1Y5I8C6	A0A1Y5I8C6_OSTTA	BE221DRAFT_194836	KZ155832;		
A0A1Y5I9A7	A0A1Y5I9A7_OSTTA	BE221DRAFT_194507	KZ155831;		
A0A096P7D2	A0A096P7D2_OSTTA	OT_ostta13g00910	CAID01000013;		
A0A1Y5IAV4	A0A1Y5IAV4_OSTTA	BE221DRAFT_167644	KZ155781;		
A0A1Y5I517	A0A1Y5I517_OSTTA	BE221DRAFT_148748	KZ155811;		
A0A090M6L8	A0A090M6L8_OSTTA	OT_ostta12g01290	CAID01000012;		
A0A090N3X6	A0A090N3X6_OSTTA	OT_ostta07g04610	CAID01000007;		
A0A090M0F0	A0A090M0F0_OSTTA	OT_ostta04g04660	CAID01000004;		
A0A1Y5I4B7	A0A1Y5I4B7_OSTTA	BE221DRAFT_49515	KZ155831;		
A0A090N3M7	A0A090N3M7_OSTTA	OT_ostta06g02640	CAID01000006;		
Q01G90	Q01G90_OSTTA	OT_ostta01g03480	CAID01000001;		
Q5SCA0	Q5SCA0_OSTTA	APC10	AY675114;		APC10
A0A090N4P5	A0A090N4P5_OSTTA	OT_ostta02g02890	CAID01000002;		
A0A090N4D3	A0A090N4D3_OSTTA	OT_ostta11g02140	CAID01000011;		
A0A096PAQ2	A0A096PAQ2_OSTTA	OT_ostta15g00350	CAID01000015;		
A0A1Y5HZZ0	A0A1Y5HZZ0_OSTTA	BE221DRAFT_61287	KZ155838;		
A0A090MC85	A0A090MC85_OSTTA	OT_ostta02g04270	CAID01000002;		
A0A090M6P3	A0A090M6P3_OSTTA	OT_ostta06g02260	CAID01000006;		
A0A090N4A3	A0A090N4A3_OSTTA	OT_ostta11g00220	CAID01000011;		
A0A090M3F6	A0A090M3F6_OSTTA	OT_ostta07g02500	CAID01000007;		
A0A090LXT2	A0A090LXT2_OSTTA	OT_ostta01g02150	CAID01000001;		
A0A454XZJ8	A0A454XZJ8_OSTTA	BE221DRAFT_174169	KZ155826;		
A0A090N483	A0A090N483_OSTTA	OT_ostta10g02500	CAID01000010;		
A0A1Y5I4S0	A0A1Y5I4S0_OSTTA	BE221DRAFT_82797	KZ155817;		
A0A1Y5IAP5	A0A1Y5IAP5_OSTTA	BE221DRAFT_173854	KZ155825;		
A0A1Y5I9G7	A0A1Y5I9G7_OSTTA	BE221DRAFT_192204	KZ155784;		
A0A454XTH2	A0A454XTH2_OSTTA	BE221DRAFT_61608	KZ155838;		
A0A090M9V6	A0A090M9V6_OSTTA	OT_ostta11g00120	CAID01000011;		
A0A454XQ17	A0A454XQ17_OSTTA	BE221DRAFT_190474	KZ155776;		
A0A090N4Y5	A0A090N4Y5_OSTTA	OT_ostta08g03980	CAID01000008;		
A0A1Y5HWE7	A0A1Y5HWE7_OSTTA	BE221DRAFT_142998	KZ155840;		
A0A090LYH5	A0A090LYH5_OSTTA	OT_ostta03g01980	CAID01000003;		
A0A1Y5I8G7	A0A1Y5I8G7_OSTTA	BE221DRAFT_194888	KZ155832;		
A0A096P8N7	A0A096P8N7_OSTTA	OT_ostta16g01320	CAID01000016;		
A0A090M1A1	A0A090M1A1_OSTTA	OT_ostta05g02220	CAID01000005;		
A0A090M3G0	A0A090M3G0_OSTTA	OT_ostta07g03020	CAID01000007;		
A0A090M2A0	A0A090M2A0_OSTTA	OT_ostta06g01900	CAID01000006;		
A0A090LYH8	A0A090LYH8_OSTTA	OT_ostta01g05390	CAID01000001;		
A0A090N455	A0A090N455_OSTTA	OT_ostta10g00440	CAID01000010;		
Q00VT3	Q00VT3_OSTTA	OT_ostta14g02400	CAID01000014;		
Q00XD5	Q00XD5_OSTTA	OT_ostta13g00470	CAID01000013;		
A0A1Y5IEN3	A0A1Y5IEN3_OSTTA	BE221DRAFT_190297	KZ155776;		
A0A1Y5I6A7	A0A1Y5I6A7_OSTTA	BE221DRAFT_22016	KZ155826;		
A0A1Y5I1M6	A0A1Y5I1M6_OSTTA	BE221DRAFT_1008	KZ155838;		
A0A090LZB2	A0A090LZB2_OSTTA	OT_ostta03g04590	CAID01000003;		
A0A096PAS5	A0A096PAS5_OSTTA	OT_ostta15g01120	CAID01000015;		
A0A090N4Q0	A0A090N4Q0_OSTTA	OT_ostta02g03200	CAID01000002;		
A0A090M6F5	A0A090M6F5_OSTTA	OT_ostta12g01020	CAID01000012;		
A0A096PBN5	A0A096PBN5_OSTTA	OT_ostta14g01270	CAID01000014;		
A0A090MCH7	A0A090MCH7_OSTTA	OT_ostta08g01100	CAID01000008;		
A0A090M4W3	A0A090M4W3_OSTTA	OT_ostta09g04430	CAID01000009;		
A0A096PBS9	A0A096PBS9_OSTTA	OT_ostta14g01600	CAID01000014;		
A0A096P7Q1	A0A096P7Q1_OSTTA	OT_ostta13g00820	CAID01000013;		
A0A1Y5HYN4	A0A1Y5HYN4_OSTTA	BE221DRAFT_187036	KZ155838;		
A0A090MEY1	A0A090MEY1_OSTTA	OT_ostta08g03180	CAID01000008;		
A0A090M0V0	A0A090M0V0_OSTTA	OT_ostta05g00820	CAID01000005;		
A0A1Y5IEA5	A0A1Y5IEA5_OSTTA	BE221DRAFT_204051	KZ155776;		
A0A090M4R0	A0A090M4R0_OSTTA	OT_ostta03g02420	CAID01000003;		
A0A1Y5IM38	A0A1Y5IM38_OSTTA	BE221DRAFT_69786	KZ155776;		
Q00ZC3	Q00ZC3_OSTTA	OT_ostta11g00300	CAID01000011;		
A0A454Y4F1	A0A454Y4F1_OSTTA	BE221DRAFT_77906	KZ155795;		
Q6PYY5	Q6PYY5_OSTTA	agplu2	AY570712;		agplu2
A0A090N3F2	A0A090N3F2_OSTTA	OT_ostta05g02780	CAID01000005;		
A0A090N4L1	A0A090N4L1_OSTTA	OT_ostta02g00085	CAID01000002;		
A0A090M878	A0A090M878_OSTTA	OT_ostta06g02040	CAID01000006;		
A0A090MCD6	A0A090MCD6_OSTTA	OT_ostta08g00320	CAID01000008;		
A0A1Y5I562	A0A1Y5I562_OSTTA	BE221DRAFT_64117	KZ155839;		
A0A1Y5ILL7	A0A1Y5ILL7_OSTTA	BE221DRAFT_188852	KZ155771;		
A0A090M0Z9	A0A090M0Z9_OSTTA	OT_ostta05g01190	CAID01000005;		
A0A1Y5I2I8	A0A1Y5I2I8_OSTTA	BE221DRAFT_57714	KZ155827;		
Q018F6	Q018F6_OSTTA	OT_ostta05g04480	CAID01000005;		
A0A454Y1J7	A0A454Y1J7_OSTTA	BE221DRAFT_79863	KZ155826;		
A0A096P8F5	A0A096P8F5_OSTTA	OT_ostta16g00620	CAID01000016;		
A0A1Y5IA55	A0A1Y5IA55_OSTTA	BE221DRAFT_145726	KZ155783;		
A0A1Y5IBA3	A0A1Y5IBA3_OSTTA	BE221DRAFT_112051	KZ155780;		
A0A454Y159	A0A454Y159_OSTTA	BE221DRAFT_62722	KZ155838;		
A0A1Y5I4X2	A0A1Y5I4X2_OSTTA	BE221DRAFT_81392	KZ155835;		
A0A1Y5I179	A0A1Y5I179_OSTTA	BE221DRAFT_62857	KZ155838;		
A0A096P8X9	A0A096P8X9_OSTTA	OT_ostta18g00840	CAID01000018;		
A0A454XQD3	A0A454XQD3_OSTTA	BE221DRAFT_62296	KZ155838;		
A0A090M499	A0A090M499_OSTTA	OT_ostta09g02290	CAID01000009;		
A0A1Y5IFE1	A0A1Y5IFE1_OSTTA	BE221DRAFT_192828	KZ155786;		
A0A090M6T4	A0A090M6T4_OSTTA	OT_ostta12g02700	CAID01000012;		
A0A1Y5IA31	A0A1Y5IA31_OSTTA	BE221DRAFT_74259	KZ155783;		
Q014J4	Q014J4_OSTTA	OT_ostta07g04250	CAID01000007;		
A0A096P873	A0A096P873_OSTTA	OT_ostta16g02590	CAID01000016;		
A0A096P7F4	A0A096P7F4_OSTTA	OT_ostta13g01510	CAID01000013;		
A0A1Y5I3Y5	A0A1Y5I3Y5_OSTTA	BE221DRAFT_194832	KZ155832;		
A0A090M650	A0A090M650_OSTTA	OT_ostta05g04610	CAID01000005;		
A0A090M7T0	A0A090M7T0_OSTTA	OT_ostta02g03500	CAID01000002;		
A0A1Y5I8P1	A0A1Y5I8P1_OSTTA	BE221DRAFT_192457	KZ155785;		
Q00UK5	Q00UK5_OSTTA	OT_ostta16g00490	CAID01000016;		
A0A454XLZ7	A0A454XLZ7_OSTTA	BE221DRAFT_193449	KZ155791;		
A0A1Y5IH38	A0A1Y5IH38_OSTTA	BE221DRAFT_189236	KZ155772;		
A0A454Y440	A0A454Y440_OSTTA	BE221DRAFT_189071	KZ155772;		
A0A1Y5IFP9	A0A1Y5IFP9_OSTTA	BE221DRAFT_68189	KZ155774;		
A0A090LYZ5	A0A090LYZ5_OSTTA	OT_ostta03g02980	CAID01000003;		
A0A090M1S7	A0A090M1S7_OSTTA	OT_ostta05g04550	CAID01000005;		
A0A090M3L9	A0A090M3L9_OSTTA	OT_ostta01g02000	CAID01000001;		
A0A1Y5I6J9	A0A1Y5I6J9_OSTTA	BE221DRAFT_77421	KZ155791;		
A0A1Y5I0F3	A0A1Y5I0F3_OSTTA	BE221DRAFT_63535	KZ155839;		
A0A1Y5IH41	A0A1Y5IH41_OSTTA	BE221DRAFT_198961	KZ155784;		
Q00ZI2	Q00ZI2_OSTTA	OT_ostta10g03300	CAID01000010;		
Q01FF7	Q01FF7_OSTTA	OT_ostta01g06370	CAID01000001;		
A0A096P901	A0A096P901_OSTTA	OT_ostta18g00560	CAID01000018;		
A0A1Y5IF78	A0A1Y5IF78_OSTTA	BE221DRAFT_70350	KZ155776;		
A0A090LXM3	A0A090LXM3_OSTTA	OT_ostta01g02400	CAID01000001;		
A0A1Y5I3H2	A0A1Y5I3H2_OSTTA	BE221DRAFT_61437	KZ155838;		
A0A096P9U2	A0A096P9U2_OSTTA	OT_ostta15g00730	CAID01000015;		
A0A1Y5IB79	A0A1Y5IB79_OSTTA	BE221DRAFT_191744	KZ155781;		
A0A096PAL4	A0A096PAL4_OSTTA	OT_ostta14g00850	CAID01000014;		
A0A1Y5IDX3	A0A1Y5IDX3_OSTTA	BE221DRAFT_211120	KZ155776;		
A0A090M2C9	A0A090M2C9_OSTTA	OT_ostta01g03320	CAID01000001;		
A0A090M8S2	A0A090M8S2_OSTTA	OT_ostta06g04190	CAID01000006;		
A0A096PBK8	A0A096PBK8_OSTTA	OT_ostta14g00380	CAID01000014;		
A0A090M1K7	A0A090M1K7_OSTTA	OT_ostta05g04250	CAID01000005;		
A0A090LZB5	A0A090LZB5_OSTTA	OT_ostta03g04650	CAID01000003;		
A0A090MAP8	A0A090MAP8_OSTTA	OT_ostta12g00630	CAID01000012;		
A0A096P9Q0	A0A096P9Q0_OSTTA	OT_ostta15g00140	CAID01000015;		
A0A454XPH5	A0A454XPH5_OSTTA	BE221DRAFT_190034	KZ155776;		
A0A096P9B0	A0A096P9B0_OSTTA	OT_ostta18g01780	CAID01000018;		
A0A096P9M3	A0A096P9M3_OSTTA	OT_ostta18g00920	CAID01000018;		
A0A090N3X1	A0A090N3X1_OSTTA	OT_ostta07g04200	CAID01000007;		
Q00UB5	Q00UB5_OSTTA	OT_ostta16g01360	CAID01000016;		
A0A1Y5IAH7	A0A1Y5IAH7_OSTTA	BE221DRAFT_23592	KZ155826;		
A0A090LYA3	A0A090LYA3_OSTTA	OT_ostta01g05750	CAID01000001;		
A0A090LZA1	A0A090LZA1_OSTTA	OT_ostta03g05190	CAID01000003;		
A0A090N4F3	A0A090N4F3_OSTTA	OT_ostta12g00260	CAID01000012;		
A0A1Y5IB30	A0A1Y5IB30_OSTTA	BE221DRAFT_146478	KZ155790;		
A0A096P9F8	A0A096P9F8_OSTTA	OT_ostta20g00580	CAID01000020;		
A0A090N488	A0A090N488_OSTTA	OT_ostta10g02770	CAID01000010;		
A0A1Y5I3I0	A0A1Y5I3I0_OSTTA	BE221DRAFT_142290	KZ155838;		
A0A1Y5I3D6	A0A1Y5I3D6_OSTTA	BE221DRAFT_99558	KZ155826;		
A0A1Y5IB22	A0A1Y5IB22_OSTTA	BE221DRAFT_146598	KZ155790;		
A0A1Y5I3H0	A0A1Y5I3H0_OSTTA	BE221DRAFT_187458	KZ155838;		
Q00ZA9	Q00ZA9_OSTTA	OT_ostta11g00450	CAID01000011;		
A0A1Y5IHJ1	A0A1Y5IHJ1_OSTTA	BE221DRAFT_74443	KZ155783;		
A0A1Y5IHU9	A0A1Y5IHU9_OSTTA	BE221DRAFT_188394	KZ155771;		
A0A1Y5IC52	A0A1Y5IC52_OSTTA	BE221DRAFT_83289	KZ155804;		
Q010A2	Q010A2_OSTTA	OT_ostta10g01720	CAID01000010;		
A0A1Y5ILX9	A0A1Y5ILX9_OSTTA	BE221DRAFT_65348	KZ155771;		
Q01EK0	Q01EK0_OSTTA	OT_ostta02g01660	CAID01000002;		
Q018B9	Q018B9_OSTTA	OT_ostta05g04850	CAID01000005;		
Q01C35	Q01C35_OSTTA	OT_ostta03g04810	CAID01000003;		
A0A090M2T4	A0A090M2T4_OSTTA	OT_ostta07g00240	CAID01000007;		
Q00ZJ3	Q00ZJ3_OSTTA	OT_ostta10g03220	CAID01000010;		
A0A090M5A3	A0A090M5A3_OSTTA	OT_ostta03g05070	CAID01000003;		
A0A096P7H5	A0A096P7H5_OSTTA	OT_ostta03g00120	CAID01000003;		
A0A454Y6E9	A0A454Y6E9_OSTTA	BE221DRAFT_13577	KZ155790;		
A0A096PBD7	A0A096PBD7_OSTTA	OT_ostta19g00400	CAID01000019;		
A0A090M3N3	A0A090M3N3_OSTTA	OT_ostta07g03930	CAID01000007;		
A0A096P7R3	A0A096P7R3_OSTTA	OT_ostta03g01100	CAID01000003;		
A0A090N365	A0A090N365_OSTTA	OT_ostta04g02480	CAID01000004;		
Q00XE3	Q00XE3_OSTTA	OT_ostta13g00400	CAID01000013;		
