Entry	Entry.Name	Gene.Names	Cross-reference	Gene.Names2	Gene.Names3
Q0P3J4	PSAJ_OSTTA	psaJ OtCpg00580	CR954199;	OtCpg00580	psaJ
Q016E7	EFTS_OSTTA	EFTS Ot02g04990	CAID01000002;	Ot02g04990	EFTS
Q0P3J5	PSBI_OSTTA	psbI OtCpg00570	CR954199;	OtCpg00570	psbI
Q0P3J6	PSBK_OSTTA	psbK OtCpg00560	CR954199;	OtCpg00560	psbK
Q0P3N6	PSBE_OSTTA	psbE OtCpg00160	CR954199;	OtCpg00160	psbE
Q5IFN2	CRYD_OSTTA	Ot01g06470	AY740084;CAID01000001;	Ot01g06470	
Q015G2	SYAP_OSTTA	Ot07g01880	CAID01000007;	Ot07g01880	
Q00WL5	LONM_OSTTA	Ot13g03040	CAID01000013;	Ot13g03040	
Q0P3L7	RR3_OSTTA	rps3 OtCpg00350	CR954199;	OtCpg00350	rps3
Q0P3M6	RPOB_OSTTA	rpoB OtCpg00260	CR954199;	OtCpg00260	rpoB
Q0P3L6	RK16_OSTTA	rpl16 OtCpg00360	CR954199;	OtCpg00360	rpl16
Q0P3N2	RR4_OSTTA	rps4 OtCpg00200	CR954199;	OtCpg00200	rps4
Q0P3M8	RR7_OSTTA	rps7 OtCpg00240	CR954199;	OtCpg00240	rps7
Q0P3J8	PSAM_OSTTA	psaM OtCpg00540	CR954199;	OtCpg00540	psaM
Q0P3Q0	PSBD_OSTTA	psbD OtCpg00020	CR954199;	OtCpg00020	psbD
Q0P3P1	PSAC_OSTTA	psaC OtCpg00110	CR954199;	OtCpg00110	psaC
Q0P3K4	RR14_OSTTA	rps14 OtCpg00480	CR954199;	OtCpg00480	rps14
Q0P3P5	RK32_OSTTA	rpl32 OtCpg00070	CR954199;	OtCpg00070	rpl32
Q0P3L4	RK5_OSTTA	rpl5 OtCpg00380	CR954199;	OtCpg00380	rpl5
Q0P3L9	RK2_OSTTA	rpl2 OtCpg00330	CR954199;	OtCpg00330	rpl2
Q0P3L8	RR19_OSTTA	rps19 OtCpg00340	CR954199;	OtCpg00340	rps19
Q0P3M3	RR2_OSTTA	rps2 OtCpg00290	CR954199;	OtCpg00290	rps2
Q0P3K2	PSAB_OSTTA	psaB OtCpg00500	CR954199;	OtCpg00500	psaB
Q00ZZ1	GUF1_OSTTA	Ot10g01840	CAID01000010;	Ot10g01840	
Q0P3N9	PSBJ_OSTTA	psbJ OtCpg00130	CR954199;	OtCpg00130	psbJ
Q0P3N4	PSBH_OSTTA	psbH OtCpg00180	CR954199;	OtCpg00180	psbH
Q0P3L1	RR11_OSTTA	rps11 OtCpg00410	CR954199;	OtCpg00410	rps11
Q0P3N5	YCX1_OSTTA	OtCpg00170	CR954199;	OtCpg00170	
Q0P3J9	YCF12_OSTTA	ycf12 OtCpg00530	CR954199;	OtCpg00530	ycf12
Q0P3J3	RBL_OSTTA	rbcL OtCpg00590	CR954199;	OtCpg00590	rbcL
Q0P3P7	RK36_OSTTA	rpl36 OtCpg00050	CR954199;	OtCpg00050	rpl36
Q0P3P6	YCX2_OSTTA	OtCpg00060	CR954199;	OtCpg00060	
Q0P3Q1	PSBC_OSTTA	psbC OtCpg00010	CR954199;	OtCpg00010	psbC
Q0P3N1	YCF3_OSTTA	ycf3 OtCpg00210	CR954199;	OtCpg00210	ycf3
Q0P3N8	PSBL_OSTTA	psbL OtCpg00140	CR954199;	OtCpg00140	psbL
Q0P3J2	PETG_OSTTA	petG OtCpg00600	CR954199;	OtCpg00600	petG
Q0P3P8	PSBB_OSTTA	psbB OtCpg00040	CR954199;	OtCpg00040	psbB
Q0P3K1	PSAA_OSTTA	psaA OtCpg00510	CR954199;	OtCpg00510	psaA
Q0P3P9	PSBT_OSTTA	psbT OtCpg00030	CR954199;	OtCpg00030	psbT
Q0P3M1	PSBZ_OSTTA	psbZ OtCpg00310	CR954199;	OtCpg00310	psbZ
Q01F03	OGFD1_OSTTA	Ogd Ot02g01720	CAID01000002;	Ot02g01720	Ogd
Q0P3K7	ATPH_OSTTA	atpH OtCpg00450	CR954199;	OtCpg00450	atpH
Q0P3K5	ATPA_OSTTA	atpA OtCpg00470	CR954199;	OtCpg00470	atpA
Q0P3L2	IF1C_OSTTA	infA OtCpg00400	CR954199;	OtCpg00400	infA
Q00YU3	GATB_OSTTA	GATB Ot11g02110	CAID01000011;	Ot11g02110	GATB
Q0P3K8	ATPI_OSTTA	atpI OtCpg00440	CR954199;	OtCpg00440	atpI
Q00VB2	METK_OSTTA	METK Ot15g00960	CAID01000015;	Ot15g00960	METK
Q0P3M7	EFTU_OSTTA	tufA OtCpg00250	CR954199;	OtCpg00250	tufA
Q013G9	FEN1_OSTTA	FEN1 Ot08g02290	CAID01000008;	Ot08g02290	FEN1
Q0P3K3	CYF_OSTTA	petA OtCpg00490	CR954199;	OtCpg00490	petA
Q00U99	CSPL1_OSTTA	Ot16g01510	CAID01000016;	Ot16g01510	
Q0P3P0	CYB6_OSTTA	petB OtCpg00120	CR954199;	OtCpg00120	petB
Q0P3K6	ATPF_OSTTA	atpF OtCpg00460	CR954199;	OtCpg00460	atpF
Q5SCB5	CCND_OSTTA	CycD Ot18g01570	AY675099;CAID01000018;	Ot18g01570	CycD
A0A1Y5I1B4	A0A1Y5I1B4_OSTTA	BE221DRAFT_63647 BE221DRAFT_72684	KZ155839;KZ155780;		
S5QBN6	S5QBN6_OSTTA	ycf3 OtCpg00210	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		ycf3
Q6VRG5	Q6VRG5_OSTTA	cdc25 OT_ostta02g03080	AY330645;CAID01000002;		cdc25
Q0P3I8	Q0P3I8_OSTTA	OtMtg00030	KC967294;KC967295;KC967296;KC967297;KC967298;KC967299;KC967300;KC967301;KC967302;KC967303;KC967304;KC967305;KC967306;CR954200;	OtMtg00030	
S5PS75	S5PS75_OSTTA	atpA OtCpg00470	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		atpA
S5M5E6	S5M5E6_OSTTA	OtMtg00130	KC967298;KC967302;KC967304;KC967306;		
