ID	Mean	Variance	sd	noise.adjusted.sd	Fano.Factor	Fstar1	Fstar2	Fstar3	Fstar4	Fstar5	Coeff.Variation.squared	distance.to.median
0610005C13Rik	302.766871165644	146412.357791411	382.63867785603	1.12685277150753	483.581169986424	0.946380739701825	0.915292281671304	0.922315132588982	0.998534353120716	0.996553220321151	1.59720635261265	0.0396143068999821
0610007C21Rik	233.389570552147	74125.6108447381	272.260189606814	1.01854676054044	317.60464132726	0.705752943200295	0.686495289662622	0.699307994296431	0.750525566877057	0.75143324583931	1.36083476470641	-0.0289433925406627
0610007L01Rik	48.4907975460123	7840.87222274658	88.5486997236356	1.18361531389647	161.698149330427	0.773689407431812	0.773405139419981	0.803749790417383	0.805812457455233	0.811889480045182	3.33461517470389	-0.0598771970209112
0610007N19Rik	0.144171779141104	0.997612081170363	0.998805326963349	0.0407679313831013	6.91960720130933	0.566610088806822	0.561638641559204	0.543285913468036	0.580815149324314	0.586982048754904	47.9955733537626	-0.233345779902917
0610007P08Rik	3.51840490797546	87.1488909863143	9.3353570358243	0.333274987272694	24.7694319629804	0.42646733173527	0.433855089667789	0.424191786148274	0.413685104374048	0.410547601853337	7.03996061022807	-0.273238617511693
0610007P14Rik	106.187116564417	23068.6510335064	151.883675994184	1.12619939088912	217.245290953089	0.709012486413456	0.700266422636057	0.726822638134329	0.754257043047474	0.759626257455863	2.04587239941956	-0.0118473023645758
0610007P22Rik	17.2883435582822	1073.47967909391	32.7639997420021	0.773827501762256	62.0926854834307	0.491505691332754	0.496798875829734	0.507668847629527	0.493236375245862	0.494336541685082	3.5915925244142	-0.353784743148828
0610008F07Rik	19.6687116564417	6923.47760264276	83.2074371834799	1.85659233777559	352.004631700178	2.616323469388	2.64162060520253	2.70736235231962	2.63732547230674	2.64553097775735	17.8966796528786	0.449011606464796
0610009B22Rik	67.5981595092025	9082.85648890986	95.3040213679877	1.00639646966436	134.365440640042	0.54667237034283	0.543896781746808	0.565960405234593	0.575438519313962	0.580022727334821	1.98770856507936	-0.144362108891086
0610009D07Rik	67.5460122699387	11101.7994148183	105.365076827279	1.11327779161388	164.359064906029	0.6689548371645	0.665566126271784	0.692565321698742	0.704139758361023	0.709749248049324	2.43329042503931	-0.0580893010381192
0610009L18Rik	1.43558282208589	240.049683813119	15.493536840022	0.599511427929219	167.214095989481	4.45935095499097	4.52733989130656	4.33093063439986	4.34321010269012	4.30812827551377	116.478195069595	0.747897593138543
0610009O20Rik	13.8558282208589	4042.18530438886	63.5781826131328	1.63995685923607	291.731770916708	2.57270043688065	2.60475646469357	2.64731455938842	2.56301736821276	2.56470615990364	21.0548056937894	0.456023331500552
0610010F05Rik	9.28527607361963	381.447597923549	19.5306834986272	0.574229172107243	41.0809107773627	0.440450518047344	0.447005103498643	0.449427274873616	0.433793240031366	0.432833366527421	4.42430687592344	-0.316130956422815
0610010K14Rik	18.7085889570552	2632.53327984899	51.3082184435299	1.170935390811	140.712551111784	1.07172871352607	1.08255948806221	1.10826154191714	1.07843687818037	1.08142814449036	7.52128081036916	0.0751362932509984
0610010O12Rik	22.9877300613497	3991.56292590845	63.1788170663906	1.30882993162293	173.638846256492	1.19601103431875	1.20584980833402	1.23992991085183	1.21236451800369	1.21736135106574	7.55354468636463	0.106417099472494
0610011F06Rik	342.610429447853	149995.924690892	387.293073383571	1.01631993372353	437.803148411517	0.806617765158834	0.777903777120664	0.779140847482175	0.846434333558715	0.843303471069514	1.27784536249254	-0.0257263650778329
0610011L14Rik	37.420245398773	17948.0782350165	133.970437914551	2.11674505453711	479.635503288416	2.60441869259411	2.61205134860772	2.70750622741583	2.68772862678084	2.70569852506449	12.8175402960918	0.479986363227964
0610012G03Rik	63.8926380368098	11599.7945917886	107.702342554787	1.1856056203767	181.551348452786	0.759258890613923	0.756039563681591	0.786676005478449	0.797878729076167	0.804224144717571	2.84150653394825	-0.053010300294668
0610012H03Rik	38.7883435582822	7090.76429447853	84.2066760683411	1.30120149809898	182.806576512456	0.975392574973643	0.977824735387088	1.01399981789541	1.00790611724547	1.01478888598743	4.71292557873155	-0.0302879577699465
0610030E20Rik	22.2791411042945	2674.2818404908	51.7134589878766	1.08792967475283	120.035230620956	0.839525991312097	0.846683666319872	0.870059848023273	0.850040986843205	0.853376850770472	5.3877853755241	-0.0717266308411885
0610031J06Rik	73.7300613496933	13184.2776781501	114.822809920982	1.13595531974282	178.818211144821	0.697340468697455	0.692879789729999	0.720926349988459	0.735829406600414	0.741670171748418	2.42530940394457	-0.0270898720169185
0610031O16Rik	14.8282208588957	1392.40732420953	37.3149745304688	0.938031132717728	93.9025212437542	0.801133260174112	0.81072160354861	0.825381809966471	0.799853036753611	0.800769695390326	6.33268968255355	-0.0779388317758191
0610037L13Rik	31.6319018404908	3016.54100991034	54.9230462548313	0.959071141931265	95.3638837500746	0.562090422615027	0.564839725236381	0.584113013394062	0.576503397186496	0.579918792004986	3.01480082452718	-0.177361403261592
0610037P05Rik	48.5	12168.1092307692	110.309152978206	1.47429483198161	250.888850118953	1.20033573884592	1.19989166866222	1.24697133592536	1.25018098309913	1.25960979078588	5.17296598183409	0.131704701456976
0610038L08Rik	0.0398773006134969	0.333789523360076	0.577745206263172	0.0236865743218132	8.37041420118343	1.28348125360549	1.24065781777424	1.30242434863933	1.29283170018598	1.30210274721102	209.904233045061	0.0984323710759969
0610039K10Rik	0.0153374233128834	0.0766871165644172	0.276924387810856	0.0113653292394768	5	1.2222623262983	1.15331187068125	1.35386660577861	1.12557166907431	1.09004273863376	326	0
